"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-3490.63514945479 0 0 0 0 0 0 0 0 0 0 0 0
-3006.66107836959 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-2590.03003470508 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-2231.36111219664 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1922.58059449914 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1656.73932680425 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1427.85571982878 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1230.78162855375 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1061.0857180987 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-914.954012043134 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-789.103653133231 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-680.708916729098 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-587.337667095683 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-506.896325326868 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-437.582904843136 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-377.84615134575 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-326.350719558048 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-281.947106467337 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
