"DOY" "Depth" "CHL"
305 25.5 0.13
305 42.9 0.19
305 68.3 0.29
305 114.4 0.33
337 21.2 0.19
337 46.2 0.18
337 71.1 0.38
337 97.9 0.27
337 122.9 0.17
337 148.6 0.04
337 177.6 0.03
8 72.7 0.24
8 97.7 0.27
8 122.2 0.24
8 146.8 0.14
8 176.8 0.06
59 5.8 0.13
59 22.1 0.13
59 41.8 0.17
59 71.8 0.19
59 99.6 0.22
59 123.2 0.17
59 151.1 0.06
59 177.4 0.02
88 40.8 0.11
88 71.7 0.19
88 81.6 0.19
88 92.5 0.22
88 101.9 0.34
88 111.7 0.43
88 121.6 0.3
88 127.4 0.23
88 133.7 0.17
88 143.6 0.13
88 152.5 0.11
88 200.2 0.01
210 204.9 0.02
210 5.6 0.13
210 27.4 0.13
210 46.8 0.16
210 61.7 0.14
210 77.3 0.19
210 87.8 0.22
210 98.5 0.37
210 109.3 0.36
210 119.2 0.28
210 130.5 0.26
210 156 0.1
210 181.1 0.01
210 5 0.15
210 25 0.14
210 45 0.15
210 75 0.19
210 100 0.35
210 125 0.23
210 150 0.09
210 175 0.1
236 203.8 0.02
236 25.8 0.13
236 45.8 0.12
236 61.6 0.17
236 76.1 0.25
236 87.3 0.34
236 97.4 0.31
236 109 0.32
236 118 0.25
236 130.5 0.19
236 157 0.08
236 181.8 0.05
266 6.3 0.1
266 26.5 0.15
266 47.4 0.15
266 63.2 0.09
266 89.1 0.25
266 98.6 0.43
266 111.2 0.31
266 119.9 0.26
266 131.7 0.2
266 157.5 0.05
266 182.1 0.02
266 206.7 0.01
265 2 0.12
265 10 0.13
265 45 0.13
265 75 0.11
265 100 0.22
265 125 0.14
265 150 0.04
265 175 0.02
292 4.8 0.08
292 25.5 0.1
292 45.4 0.13
292 61.7 0.15
292 76.4 0.2
292 86.7 0.36
292 96.5 0.29
292 106.4 0.16
292 116.8 0.14
292 129.7 0.08
292 153.9 0.03
292 181.7 0.01
292 207.3 0.01
291 5 0.12
291 20 0.11
291 45 0.21
291 80 0.26
291 100 0.15
291 120 0.07
291 160 0.02
291 175 0.01
332 5.8 0.1
332 25.3 0.13
332 45.6 0.13
332 61.6 0.18
332 76.5 0.25
332 86.6 0.3
332 96.3 0.3
332 106.7 0.23
332 119.6 0.11
332 130.6 0.07
332 155.4 0.03
332 181.5 0.01
332 2 0.11
332 10 0.11
332 20 0.11
332 45 0.12
332 65 0.22
332 95 0.28
332 110 0.21
332 140 0.05
5 14.3 0.13
5 34 0.13
5 45.8 0.12
5 60 0.17
5 75.5 0.28
5 85.6 0.48
5 95.1 0.28
5 105.9 0.26
5 117.3 0.2
5 126.9 0.09
5 136.8 0.02
5 12.3 0.01
5 26.7 0.1
5 160.6 0.04
5 177.8 0.01
5 215.3 0.01
5 2 0.12
5 10 0.11
5 40 0.13
5 80 0.19
5 95 0.17
5 120 0.12
5 145 0.06
5 175 0.01
47 24.9 0.09
47 34.9 0.09
47 45.9 0.11
47 60.8 0.11
47 75.6 0.21
47 85.3 0.29
47 96.4 0.34
47 105.9 0.24
47 115.6 0.16
47 125.4 0.1
47 135.7 0.03
47 151 0.01
46 4 0.08
46 10 0.1
46 30 0.11
46 70 0.22
46 88 0.33
46 115 0.22
46 135 0.11
46 160 0.04
77 176.4 0.03
77 5.2 0.09
77 27.3 0.09
77 47 0.09
77 76.2 0.14
77 98.4 0.22
77 123.2 0.19
77 148.5 0.05
78 116.7 0.26
78 126.9 0.25
78 137.2 0.18
78 151.7 0.09
78 163.1 0.09
78 177.8 0.05
78 203.7 0.01
78 15.7 0.08
78 35.1 0.09
78 45.3 0.08
78 60.6 0.09
78 75.1 0.07
78 87.1 0.09
78 99 0.11
78 110 0.24
78 149.5 0.1
78 175.2 0.05
79 6 0.09
79 25.8 0.09
79 45.7 0.1
79 75.1 0.15
79 99.3 0.2
79 124 0.16
79 149.6 0.1
79 175.2 0.02
78 5 0.09
78 25 0.11
78 45 0.1
78 75 0.17
78 100 0.2
78 125 0.27
78 150 0.05
78 175 0.04
103 117.3 0.1
103 128.7 0.2
103 137 0.16
103 152.2 0.15
103 162.4 0.17
103 178.8 0.09
103 16.6 0.06
103 25.7 0.05
103 36.9 0.06
103 45.9 0.07
103 61.8 0.08
103 61.8 0.08
103 78 0.09
103 98.5 0.09
103 108.8 0.13
103 2 0.09
103 10 0.1
103 40 0.13
103 80 0.17
103 95 0.23
103 120 0.32
103 145 0.13
103 175 0.08
129 6.2 0.08
129 15.7 0.08
129 26.9 0.08
129 36.8 0.09
129 46.4 0.09
129 62.7 0.11
129 77.4 0.12
129 87.4 0.13
129 97.9 0.13
129 106.8 0.21
129 118 0.29
129 129.9 0.4
129 137 0.26
129 154.4 0.16
129 165.7 0.09
129 182.3 0.06
129 209 0.02
129 5 0.03
129 25 0.1
129 45 0.11
129 75 0.14
129 100 0.5
129 125 0.28
129 150 0.1
129 175 0.06
164 5.2 0.05
164 15.1 0.05
164 26.2 0.05
164 35.1 0.05
164 45.6 0.06
164 60.7 0.06
164 76 0.09
164 96.7 0.09
164 106.9 0.1
164 117.2 0.14
164 127.1 0.23
164 137.2 0.15
164 154.2 0.08
164 165.6 0.05
164 181.8 0.02
164 207.5 0.01
164 5 0.05
164 25 0.04
164 45 0.06
164 75 0.11
164 100 0.22
164 125 0.08
164 150 0.02
164 175 0.02
206 4.7 0.04
206 15.1 0.04
206 26.5 0.04
206 36.8 0.05
206 46.3 0.07
206 61.7 0.09
206 77.4 0.11
206 87.2 0.17
206 97.1 0.21
206 108.1 0.22
206 117.5 0.1
206 137.5 0.06
206 153.4 0.03
206 164.7 0.02
206 181.6 0.01
206 207.8 0.01
206 5 0.04
206 25 0.04
206 45 0.08
206 75 0.11
206 100 0.2
206 125 0.08
206 150 0.04
206 175 0.02
352 129.9 0.12
352 139.3 0.06
352 154.7 0.02
352 166.3 0.01
352 7 0.07
352 14.9 0.06
352 27 0.07
352 45.8 0.07
352 45.8 0.07
352 61.9 0.12
352 76.5 0.12
352 86 0.15
352 96.2 0.14
352 106.2 0.21
352 122.5 0.15
352 78.2 0.15
352 92.9 0.19
352 103.7 0.15
352 113.6 0.11
352 122.5 0.05
352 143.3 0.04
352 30.9 0.12
352 71.8 0.12
352 90 0.12
352 112.5 0.17
352 8.7 0.13
352 48.4 0.11
352 77.9 0.12
352 102.4 0.17
352 127.1 0.05
352 155.6 0.02
352 28.5 0.12
352 45.7 0.12
352 76.5 0.22
352 102 0.18
352 114.1 0.09
352 122.5 0.05
352 141.3 0.02
353 27.2 0.1
353 46.8 0.1
353 77.4 0.11
353 97.7 0.23
353 113.6 0.15
353 124.5 0.06
353 153.7 0.02
352 5 0.09
352 25 0.09
352 45 0.09
352 75 0.1
352 100 0.15
352 125 0.05
352 150 0.01
34 6 0.06
34 16.2 0.06
34 26.1 0.06
34 36 0.07
34 49.6 0.07
34 62.1 0.07
34 75.6 0.07
34 88.4 0.1
34 99.1 0.13
34 107.3 0.14
34 118.2 0.14
34 128.5 0.17
34 139 0.12
34 154.8 0.08
34 168 0.05
34 182.3 0.03
35 5 0.07
35 25 0.06
35 75 0.1
35 100 0.14
35 125 0.13
65 5.4 0.06
65 16.1 0.06
65 19.1 0.06
65 36.8 0.07
65 39.7 0.07
65 63.7 0.08
65 78.9 0.09
65 86.2 0.09
65 94.7 0.1
65 105.3 0.11
65 117.6 0.2
65 126.5 0.21
65 139.2 0.19
65 153.9 0.05
65 163.8 0.05
65 182.5 0.06
66 34.9 0.06
66 113.5 0.18
66 119.2 0.18
66 129 0.17
66 136.8 0.11
66 144.5 0.06
66 148.8 0.06
66 77.9 0.12
66 106.7 0.15
66 127.4 0.19
66 127.4 0.2
66 129.3 0.17
66 139.8 0.15
66 159.8 0.07
100 8 0.07
100 17.4 0.07
100 27.2 0.07
100 37.9 0.09
100 48.7 0.08
100 65.1 0.12
100 77.5 0.18
100 88.9 0.31
100 98.6 0.29
100 108.2 0.16
100 119.6 0.12
100 130.3 0.1
100 157.1 0.04
100 168.1 0.04
100 181.3 0.02
100 209.7 0.01
100 5 0.09
100 25 0.09
100 45 0.09
100 75 0.13
100 100 0.19
100 125 0.23
100 150 0.06
100 175 0.04
128 9.6 0.09
128 18.3 0.09
128 26.4 0.09
128 36.7 0.11
128 46 0.1
128 78 0.12
128 86.9 0.11
128 98 0.12
128 104.6 0.16
128 114.8 0.19
128 126.3 0.22
128 140.5 0.22
128 157.2 0.16
128 165.4 0.16
128 188.5 0.06
128 5 0.09
128 25 0.11
128 45 0.11
128 75 0.14
128 100 0.18
128 125 0.22
128 150 0.14
128 175 0.1
156 6.5 0.07
156 16.2 0.08
156 27.8 0.07
156 37.9 0.08
156 47.7 0.11
156 63.6 0.1
156 78.2 0.18
156 90.2 0.2
156 99.2 0.21
156 109.6 0.23
156 120.2 0.2
156 130.2 0.24
156 139 0.16
156 169.5 0.05
156 210 0.01
156 5 0.1
156 25 0.1
156 45 0.1
156 75 0.12
156 100 0.16
156 125 0.21
156 150 0.09
156 175 0.02
191 3.3 0.07
191 13.3 0.06
191 23.3 0.06
191 34 0.08
191 43.2 0.1
191 58.9 0.11
191 73.9 0.18
191 84.7 0.26
191 94.5 0.23
191 104.4 0.24
191 115.1 0.21
191 127.4 0.18
191 135.8 0.12
191 150.6 0.06
191 180 0.03
191 205.8 0.02
191 5 0.07
191 25 0.06
191 45 0.09
191 75 0.14
191 100 0.22
191 125 0.2
191 150 0.06
191 175 0.07
222 7.9 0.11
222 18.4 0.07
222 26.9 0.07
222 34.8 0.08
222 42.2 0.1
222 59.1 0.12
222 75.7 0.16
222 87.6 0.21
222 98.2 0.25
222 107.6 0.23
222 117.7 0.2
222 129.6 0.19
222 139.3 0.13
222 153.1 0.06
222 167.6 0.04
222 181.1 0.03
222 208.5 0.01
222 5 0.07
222 25 0.07
222 45 0.07
222 75 0.15
222 100 0.2
222 125 0.2
222 150 0.08
222 175 0.03
261 111.4 0.2
261 121.8 0.19
261 131.5 0.14
261 141.7 0.1
261 158.7 0.06
261 165.2 0.06
261 176.2 0.03
261 199.9 0.01
261 11.3 0.06
261 31 0.06
261 31.1 0.07
261 41.1 0.07
261 50.8 0.08
261 67.7 0.14
261 83.3 0.19
261 95.6 0.25
261 105.4 0.23
261 5 0.07
261 25 0.07
261 45 0.09
261 75 0.17
261 100 0.22
261 125 0.15
261 150 0.07
261 175 0.08
294 103.9 0.31
294 114.6 0.23
294 124.7 0.13
294 135.1 0.13
294 150.5 0.11
294 160.8 0.09
294 175 0.06
294 199.6 0.04
294 6.7 0.07
294 16.8 0.07
294 27 0.07
294 35.9 0.08
294 46.5 0.09
294 61.3 0.11
294 76.8 0.23
294 87.1 0.27
294 97.4 0.34
294 6.5 0.09
294 26.1 0.1
294 46.3 0.14
294 76.9 0.23
294 101.5 0.27
294 126.9 0.13
294 150.9 0.07
294 5 0.08
294 25 0.08
294 45 0.09
294 75 0.2
294 100 0.29
294 125 0.11
294 150 0.07
294 175 0.08
340 105.3 0.16
340 115.8 0.11
340 126.5 0.09
340 137.6 0.08
340 153.7 0.03
340 164.5 0.02
340 178 0.01
340 6.6 0.1
340 24.3 0.12
340 35.7 0.11
340 45.7 0.13
340 61.1 0.15
340 75.4 0.18
340 88.6 0.26
340 5 0.12
340 25 0.11
340 45 0.11
340 75 0.18
340 100 0.21
340 125 0.13
340 150 0.04
5 5 0.14
5 25 0.14
5 45 0.18
5 75 0.15
5 100 0.21
5 125 0.05
5 150 0.02
5 175 0.01
46 108.6 0.18
46 118.3 0.13
46 127.4 0.11
46 138 0.1
46 153.1 0.07
46 162.3 0.05
46 177 0.03
46 204.8 0.01
46 5.6 0.13
46 16 0.12
46 29.9 0.12
46 37.6 0.14
46 63.9 0.19
46 77.3 0.19
46 85 0.19
47 7.3 0.08
47 27.6 0.08
47 47.6 0.08
47 77.7 0.2
47 82.9 0.2
47 88.6 0.19
47 93.5 0.16
47 98.6 0.13
47 103.3 0.13
47 113 0.12
47 126.8 0.06
47 146.9 0.02
47 175.1 0.01
45 5 0.15
45 25 0.15
45 45 0.15
45 75 0.14
45 100 0.16
45 125 0.12
45 150 0.06
45 175 0.03
65 5 0.08
65 25 0.08
65 45 0.1
65 75 0.13
65 100 0.12
65 125 0.19
65 150 0.11
65 175 0.03
108 5 0.07
108 25 0.07
108 45 0.09
108 75 0.17
108 100 0.16
108 125 0.21
108 150 0.06
161 4.6 0.05
161 14.6 0.05
161 24.7 0.05
161 34.6 0.07
161 44.8 0.06
161 59.6 0.07
161 74.9 0.12
161 84.9 0.16
161 94.9 0.13
161 103.9 0.19
161 113.4 0.26
161 124.5 0.21
161 135.9 0.17
161 148.3 0.1
161 161.3 0.06
161 175.1 0.02
162 9 0.13
162 48.4 0.08
162 79 0.15
162 104.4 0.16
162 119.3 0.27
162 123.7 0.28
162 129 0.25
162 134 0.17
162 139 0.18
162 156.5 0.04
162 180.3 0.04
161 5 0.05
161 25 0.05
161 45 0.07
161 75 0.08
161 100 0.12
161 125 0.26
161 150 0.07
187 8.6 0.04
187 17.3 0.04
187 28.5 0.05
187 38.4 0.07
187 48.5 0.07
187 63.5 0.09
187 78.1 0.11
187 87.2 0.13
187 97.5 0.16
187 108.5 0.2
187 118.1 0.2
187 129.3 0.16
187 139 0.16
187 153.9 0.11
187 178.1 0.07
187 200.2 0.04
188 9.6 0.07
188 29.3 0.08
188 47.5 0.09
188 78.4 0.14
188 88.6 0.16
188 98.8 0.16
188 109 0.2
188 114.1 0.18
188 119 0.17
188 124.8 0.13
188 134.9 0.08
188 154.6 0.05
188 179 0.02
188 204.1 0.01
187 5 0.05
187 25 0.08
187 45 0.05
187 75 0.19
187 100 0.18
187 125 0.17
187 150 0.06
219 109 0.22
219 118.5 0.22
219 128.8 0.23
219 138.1 0.12
219 153.5 0.05
219 163.4 0.04
219 178.8 0.02
219 204.5 0.01
219 9.9 0.07
219 10 0.07
219 31.1 0.07
219 31 0.09
219 40.3 0.07
219 49.3 0.09
219 64.8 0.12
219 80.1 0.13
219 92.1 0.18
218 5 0.07
218 25 0.07
218 45 0.09
218 75 0.13
218 100 0.25
218 125 0.09
218 150 0.03
218 175 0.01
266 5 0.09
266 25 0.08
266 45 0.1
266 75 0.18
266 100 0.2
266 125 0.06
266 150 0.04
266 175 0.04
293 5 0.09
293 25 0.09
293 45 0.12
293 75 0.32
293 100 0.31
293 125 0.08
293 150 0.03
293 175 0.01
20 149.7 0.06
20 160.5 0.03
20 173.8 0.01
20 198.1 0.02
20 9.1 0.11
20 24.7 0.16
20 45.3 0.19
20 75.5 0.21
20 86.1 0.22
20 95.3 0.22
20 104 0.21
20 130.4 0.18
20 5 0.12
20 25 0.18
20 45 0.18
20 75 0.19
20 100 0.2
20 125 0.15
20 150 0.08
20 175 0.08
48 5.1 0.08
48 14.9 0.07
48 24.3 0.08
48 35.5 0.08
48 45.4 0.11
48 58.7 0.31
48 74.3 0.29
48 84.6 0.18
48 94.6 0.13
48 104.7 0.1
48 124.5 0.04
48 137 0.02
48 151.5 0.01
48 161.8 0.01
49 75.5 0.32
49 85.2 0.3
49 95.2 0.27
49 105.2 0.25
49 125.2 0.06
49 150.9 0.04
48 5 0.09
48 25 0.09
48 45 0.08
48 75 0.1
48 100 0.14
48 125 0.09
48 150 0.04
48 175 0.01
104 3.8 0.07
104 15 0.07
104 26 0.07
104 34.9 0.08
104 44.4 0.08
104 60.2 0.09
104 75.5 0.1
104 85.4 0.12
104 95.9 0.14
104 104.9 0.14
104 115 0.26
104 125 0.27
104 134.9 0.15
104 150.4 0.1
104 160 0.08
104 176.2 0.04
104 196.2 0.03
105 74.2 0.09
105 89.6 0.17
105 100.2 0.23
105 103.7 0.24
105 109.2 0.26
105 114.1 0.25
105 119.5 0.26
105 124.6 0.26
105 5 0.07
105 25 0.07
105 45 0.07
105 75 0.09
105 100 0.22
105 125 0.07
105 150 0.08
105 175 0.09
140 6.7 0.07
140 24.5 0.08
140 45.1 0.09
140 75.7 0.15
