"DOY" "Depth" "NPP"
210 5 4.21
210 25 5.255
210 45 6.295
210 75 3.955
210 100 3.315
210 125 0.935
210 150 0.325
210 175 0.3
265 2 4.25
265 10 5.54
265 45 5.67
265 75 1.01
265 100 3.16
265 125 0.82
265 150 0.25
265 175 0.245
291 5 5.475
291 20 3.92
291 45 6.785
291 80 3.845
291 100 1.29
291 120 0.425
291 160 0.2
291 175 0.17
332 2 2.27
332 10 2.67
332 20 5.87
332 45 2.895
332 65 3.995
332 95 2.19
332 110 0.695
332 140 0.19
5 2 4.68
5 10 4.59
5 40 3.97
5 80 1.95
5 95 1.675
5 120 0.81
5 145 0.255
5 175 0.215
46 4 2.62
46 10 5.73
46 30 3.31
46 70 3.455
46 88 2.63
46 115 0.83
46 135 0.43
78 5 4.203
78 25 3.643
78 45 4.663
78 75 4.84
78 100 3.497
78 125 1.723
78 150 0.283
78 175 0.133
103 2 3.18
103 10 1.11
103 40 2.59
103 80 1.985
103 95 4.71
103 120 2.02
103 145 0.895
103 175 0.17
129 5 6.49
129 25 3
129 45 5.62
129 75 3.045
129 100 4.765
129 125 1.13
129 150 0.2
129 175 0.13
164 5 3.507
164 25 1.53
164 45 1.47
164 75 2.57
164 100 4.303
164 125 0.673
164 150 0.144
164 175 0.133
206 5 2.13
206 25 1.6
206 45 4.397
206 75 3.437
206 100 3.356
206 125 0.463
206 150 0.233
352 5 5.154
352 25 4.883
352 45 3.26
352 75 1.246
352 100 0.974
352 125 0.243
352 150 0.108
35 5 5.803
35 25 5.546
35 75 2.673
35 100 1.017
35 125 0.583
35 150 0.094
35 175 0.053
100 5 5.137
100 25 6.76
100 45 5.223
100 75 2.996
100 100 1.653
100 125 0.78
100 150 0.15
100 175 0.073
128 5 11.522
128 25 10.887
128 45 7.46
128 75 4.39
128 100 2.328
128 125 1.747
128 150 0.35
128 175 0.102
156 5 6.413
156 25 8.658
156 45 7.153
156 75 3.313
156 100 1.574
156 125 0.833
156 150 0.227
156 175 0.095
191 5 4.684
191 25 6.53
191 45 4.397
191 75 3.644
191 100 2.01
191 125 0.896
191 150 0.166
191 175 0.128
222 5 7.104
222 25 6.844
222 45 5.625
222 75 3.28
222 100 1.35
222 125 0.777
222 150 0.153
222 175 0.107
261 5 7.658
261 25 8.004
261 45 6.103
261 75 3.687
261 100 1.52
261 125 0.593
261 150 0.104
261 175 0.184
294 5 9.75
294 25 6.583
294 45 5.42
294 75 2.724
294 100 0.973
294 125 0.247
294 150 0.083
294 175 0.272
340 5 5.214
340 25 5.51
340 45 4.3
340 75 1.937
340 100 0.793
340 125 0.217
340 150 0.08
5 5 7.947
5 25 6.147
5 45 5.047
5 75 1.687
5 100 0.602
5 125 0.16
5 150 0.085
5 175 0.07
45 5 12.433
45 25 10.953
45 45 8.162
45 75 2.94
45 100 1.217
45 125 0.66
45 150 0.2
45 175 0.1
65 5 6.617
65 25 7.69
65 45 6.207
65 75 4.02
65 100 0.584
65 125 0.84
65 150 0.2
65 175 0.07
108 5 6.714
108 25 5.83
108 45 4.403
108 75 3.666
108 100 1.95
108 125 0.783
108 150 0.153
161 5 8.527
161 25 8.366
161 45 7.14
161 75 4
161 100 2.283
161 125 1.69
161 150 0.303
187 5 4.2
187 25 6.223
187 45 2.82
187 75 4.137
187 100 2.37
187 125 1.01
187 150 0.193
187 175 0.087
218 5 6.096
218 25 6.627
218 45 5.333
218 75 2.827
218 100 2.196
218 125 0.336
218 150 0.1
218 175 0.07
266 5 5.966
266 25 6.46
266 45 5.537
266 75 2.88
266 100 2.366
266 125 0.47
266 150 0.107
266 175 0.077
293 5 7.963
293 25 7.41
293 45 6.257
293 75 3.693
293 100 0.837
293 150 0.094
293 175 0.053
20 5 4.46
20 25 5.824
20 45 5.227
20 75 2.584
20 100 1
20 125 0.397
20 150 0.174
20 175 0.113
48 5 6.524
48 25 4.58
48 45 4.257
48 75 0.604
48 100 1.136
48 125 0.364
48 150 0.126
48 175 0.063
105 5 6.297
105 25 5.666
105 45 4.89
105 75 3.48
105 100 3.83
105 125 0.336
105 150 0.414
105 175 0.404
140 5 7.486
140 25 7.87
140 45 6.726
140 75 5.86
140 100 2.576
140 125 1.453
140 150 0.446
140 175 0.287
257 5 8.174
257 25 7.77
257 45 5.444
257 75 3.187
257 100 1.366
257 125 0.58
257 150 0.383
257 175 0.39
302 5 3.894
302 25 3.05
302 45 1.88
302 75 1.35
302 100 0.973
302 125 0.294
302 150 0.177
302 175 0.104
20 5 5.036
20 25 5.04
20 45 2.9
20 75 1.616
20 100 1.023
20 125 0.25
20 150 0.22
20 175 0.186
48 5 8.53
48 25 3.737
48 45 3.09
48 75 0.907
48 100 0.436
48 125 0.2
48 150 0.14
48 175 0.067
68 5 7.327
68 25 6.53
68 45 4.163
68 75 2.913
68 100 1.436
68 125 0.66
68 150 0.38
68 175 0.146
170 5 7.726
170 25 4.957
170 45 3.97
170 75 2.644
170 100 2.407
170 125 0.923
170 150 0.514
170 175 0.15
206 5 8.66
206 25 7.313
206 45 7.776
206 75 3.15
206 100 1.157
206 125 0.32
206 150 0.1
206 175 0.063
242 5 8.093
242 25 6.344
242 45 6.396
242 75 3.437
242 100 1.573
242 125 0.563
242 150 0.127
242 175 0.113
266 5 5.7
266 25 5.856
266 45 4.583
266 75 2.93
266 100 1.766
266 125 0.423
266 150 0.104
266 175 0.104
288 5 5.283
288 25 4.466
288 45 4.573
288 75 1.49
288 100 0.877
288 125 0.39
288 150 0.11
288 175 0.083
38 5 5.383
38 25 5.473
38 45 4.39
38 75 2.62
38 100 0.96
38 125 0.667
38 150 0.236
63 5 7.75
63 25 6.643
63 45 4.994
63 75 2.196
63 100 1.582
63 125 0.29
63 150 0.127
96 5 7.563
96 25 6.56
96 45 4.226
96 75 3.357
96 100 1.685
96 125 0.73
96 150 0.18
96 175 0.094
127 5 15.386
127 25 13.006
127 45 6.726
127 75 5.994
127 100 3.922
127 125 1.284
127 150 0.317
127 175 0.107
211 5 9.397
211 25 6.517
211 45 7.364
211 75 4.337
211 100 4.27
211 125 1.027
211 150 0.22
211 175 0.2
241 5 9.173
241 25 6.793
241 45 3.727
241 100 1.763
241 125 0.537
241 150 0.084
270 5 6.802
270 25 5.91
270 45 5.188
270 75 2.963
270 100 1.168
270 125 0.173
270 150 0.155
270 175 0.088
300 5 7.432
300 25 5.977
300 45 5.19
300 75 1.84
300 100 1.26
300 125 0.393
300 150 0.177
300 175 0.045
321 5 7.326
321 25 5.547
321 45 4.868
