"DOY" "Depth" "TIN"
305 4.7 0.02
305 39.4 0.04
305 99.4 0.21
305 150.3 2.07
305 191.8 2.26
305 217 3.79
305 25.5 0.04
305 42.9 0.02
305 114.4 0.4
306 16.6 0.02
306 56.4 0.02
306 117.3 0.36
306 137.8 1.3
306 157.7 2.37
306 181.8 3.07
306 204.2 4.21
306 228.8 4.92
337 15.6 0.07
337 99.5 0.18
337 136.4 0.12
337 173.3 2.23
337 238 3.43
337 1.5 0.05
337 21.2 0.05
337 46.2 0.07
337 71.1 0.05
337 97.9 0.21
337 122.9 0.72
337 148.6 1.61
337 177.6 2.03
337 1.6 0.05
337 16.2 0.05
337 37.8 0.07
337 57.9 0.07
337 79.2 0.07
337 98.9 0.55
337 119.7 0.76
337 139.8 1.59
337 161.5 1.77
337 181.1 2.05
8 35.9 0.02
8 204.9 3.41
8 19.7 0.02
8 118.8 0.38
8 186 2.75
8 4.9 0.02
8 22.8 0.04
8 43.3 0.02
8 72.7 0.04
8 97.7 0.04
8 122.2 0.11
8 146.8 0.61
8 176.8 1.49
9 2.8 0.02
8 38.2 0.02
8 56.7 0.04
8 79.4 0.04
8 96.6 0.1
8 117.5 0.49
8 139.2 1.02
8 151.6 1.81
8 163.4 2.09
8 186.7 3.2
8 230.8 4.6
9 201.3 2.82
58 8.7 0.07
58 18.8 0.05
58 38.5 0.07
58 58.4 0.05
58 78.4 0.05
58 98.4 0.07
58 108.2 0.05
58 118.3 0.07
58 131.3 0.29
58 141.4 0.98
58 151.3 1.53
58 163 2.16
59 179.4 3.23
59 226.3 4.91
59 201 3.97
59 5.8 0.02
59 22.1 0.02
59 41.8 0.02
59 71.8 0.05
59 99.6 0.07
59 123.2 0.21
59 151.1 2.31
59 177.4 3.11
59 47 0.05
59 131 0.24
59 162.1 1.91
59 203.7 3.95
86 26.7 0.14
86 111.1 0.05
86 144.1 0.92
86 212 3.08
88 40.8 0.02
88 71.7 0.02
88 81.6 0.02
88 92.5 0.05
88 101.9 0.05
88 111.7 0.05
88 121.6 0.47
88 127.4 0.69
88 133.7 0.98
88 143.6 1.25
88 152.5 1.39
88 200.2 3.22
138 136.1 1.92
138 201 4.91
138 4.5 0.01
138 99 0.41
138 108.7 0.96
138 119.1 1.86
138 129 2.68
138 139.8 2.85
138 159.7 3.23
138 179.6 4.45
138 199.7 4.81
175 15.3 0.05
175 79.6 0.02
175 99.5 0.02
175 139.5 0.36
175 199.2 5.05
175 242.8 10.18
175 49.1 0.02
175 127.6 0.05
175 225.5 5.73
175 105.2 0.04
209 54.3 0.02
209 98.5 0.02
209 148.5 1.34
209 206.8 4.3
210 204.9 4.92
210 228 5.91
210 5.6 0.02
210 27.4 0.02
210 46.8 0.02
210 61.7 0.02
210 77.3 0.02
210 87.8 0.02
210 98.5 0.04
210 109.3 0.04
210 119.2 0.06
210 130.5 0.12
210 156 1.99
210 181.1 3.66
235 59.9 0.02
235 91.6 0.04
235 139.3 0.63
235 191.7 3.62
235 227.3 4.43
236 203.8 3.91
236 230.9 5.05
236 4.8 0.01
236 25.8 0.02
236 45.8 0.02
236 61.6 0.02
236 76.1 0.02
236 97.4 0.01
236 109 0.02
236 118 0.04
236 130.5 0.13
236 157 0.91
236 181.8 2.75
265 7.2 0.05
265 86.7 0.07
265 96.6 0.05
265 108.3 0.07
265 123.4 0.14
265 132.9 0.69
265 143.8 3.19
265 182.8 4.78
265 217.7 6.45
266 6.3 0.07
266 26.5 0.05
266 47.4 0.03
266 63.2 0.03
266 79 0.03
266 98.6 0.04
266 111.2 0.07
266 119.9 0.38
266 131.7 0.93
266 157.5 5.29
266 182.1 5.53
266 206.7 5.95
266 231.7 5.86
291 118.1 0.01
291 133.3 0.18
291 198.5 2.63
291 246.1 4.43
292 4.8 0.01
292 25.5 0.04
292 45.4 0.01
292 61.7 0.01
292 76.4 0.01
