"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-3490.63514945479 -4.98769403316876e-05 2.40501051152937e-05 2.64426812496687e-05 4.49436445785311e-05 3.43946789172667e-05 1.40894159991174e-05 2.63684597426114e-06 5.31990075257398e-06 1.15550005735183e-07 -4.70132880759464e-06 -1.58602705285984e-05 -1.35418771256373e-05
-3006.66107836959 -3.98980644636267e-05 1.62921501727106e-05 -6.9407402482733e-06 4.68702403151557e-05 1.80338956801861e-05 1.14598564833272e-05 8.39308331675903e-06 1.27304972148809e-06 -4.26484287083359e-07 -3.82909535686545e-06 -2.76969614856164e-05 -1.61582939588916e-05
-2590.03003470508 -3.15269343966226e-05 1.01733267312816e-05 -1.73650392044022e-05 3.59021565505094e-05 1.44549326931966e-05 2.41971366195352e-06 2.73130130888769e-06 -5.42992037508309e-06 -2.49400786347014e-06 -5.426041173967e-06 -3.26339487817067e-05 -1.59223130584304e-05
-2231.36111219664 -2.24975385988799e-05 6.0112180920954e-06 -1.69480168386564e-05 2.74680696896922e-05 5.39368461613761e-06 -4.02409825383232e-06 -1.6785519912052e-06 -8.5362655648696e-06 -4.67490307431044e-06 -7.18392181892045e-06 -3.09455351292916e-05 -1.54715571200471e-05
-1922.58059449914 -1.58422410631799e-05 3.63501880986989e-06 -1.21350694109956e-05 2.06931023523482e-05 -3.43872969809394e-06 -7.69938351429673e-06 -2.42808043423181e-06 -1.00386177350441e-05 -6.92408370298221e-06 -6.06304405706536e-06 -2.55316515586294e-05 -1.30529732517478e-05
-1656.73932680425 -1.05362566795663e-05 9.99253573110871e-07 -8.97265745089739e-06 1.37654364618966e-05 -1.01846972241532e-05 -1.01061975494311e-05 -1.49338687861626e-06 -1.11547395900285e-05 -7.75949869979502e-06 -3.99960587082802e-06 -1.94729203252012e-05 -1.06337696320949e-05
-1427.85571982878 -8.58987778150829e-06 -3.51623611513951e-06 -9.04350604051094e-06 6.11032287592861e-06 -1.41046250398016e-05 -1.17553942794493e-05 -1.56728803954212e-06 -1.06495615287579e-05 -7.95334029220015e-06 -8.55464236497797e-07 -1.39834448674875e-05 -9.2077339717084e-06
-1230.78162855375 -1.07386133772889e-05 -8.32160397830773e-06 -1.14721447073257e-05 -2.95175018069316e-07 -1.61099032183547e-05 -1.2740580920091e-05 -2.12056030188785e-06 -8.90078209993705e-06 -7.19980962845954e-06 2.7569300607677e-06 -8.95178269109446e-06 -8.85903785222614e-06
-1061.0857180987 -1.5877956987762e-05 -9.37305273324169e-06 -1.21530358347291e-05 -5.24113342623817e-06 -1.65814534816293e-05 -1.09458641175533e-05 -8.00097506983125e-07 -6.92715295391021e-06 -6.77245002777928e-06 5.37077260682468e-06 -5.01514053997133e-06 -8.79674282720227e-06
-914.954012043134 -2.08544003972826e-05 -5.63877140585353e-06 -9.66400911998003e-06 -6.54566651568843e-06 -1.41831646180544e-05 -5.52874352786374e-06 3.24343188071434e-06 -6.51279725766222e-06 -8.16316711671695e-06 6.46040595627972e-06 -1.70737419644705e-06 -7.98497993569125e-06
-789.103653133231 -2.22063931152752e-05 -1.35697199594422e-06 -6.07755059530812e-06 -4.05602920228845e-06 -1.00917236421362e-05 1.04306171675516e-07 6.65190634254332e-06 -7.74984747546295e-06 -1.01333672625633e-05 7.2514544987262e-06 7.92361544677679e-07 -6.52782585409317e-06
-680.708916729098 -1.90459068160132e-05 1.30132607401349e-06 -3.85454290191193e-06 -1.94162777079111e-06 -6.83954558492268e-06 2.32445347515175e-06 8.05996017512186e-06 -8.30031900561198e-06 -1.01642051592943e-05 8.87744809194548e-06 2.66529425547841e-06 -5.20376113825171e-06
-587.337667095683 -1.33339998434431e-05 3.86077432162262e-06 -3.03024165544916e-06 -3.70696472014226e-07 -4.96282120647195e-06 4.00918958799076e-06 6.52962043697557e-06 -5.61088084018952e-06 -6.59203306636177e-06 1.058199504214e-05 3.44851388181909e-06 -4.67472202133047e-06
-506.896325326868 -7.28211511421814e-06 2.98972095829161e-06 -2.68195800959169e-06 9.31500670855885e-07 -3.22994718970186e-06 4.69977581597179e-06 3.73410944347158e-06 -2.76099967944404e-06 -4.6529082966792e-06 1.02014722389492e-05 2.7982664065739e-06 -5.35951802677501e-06
