"DOY" "Depth" "PP"
24 0 3
24 7 2.6
24 15 2.7
24 32 1.9
24 39 1.1
24 48 0.6
24 56 0.3
24 60 0.2
46 0 4.7
46 5 3.3
46 10 2.3
46 23 1.7
46 28 1.1
46 35 0.4
46 42 0.2
46 44 0.1
298 0 14.7875
298 3 13.8815
298 7 13.44
298 15 9.6345
298 18 7.983
298 25 5.055
298 31 0.949
298 38 0.57
301 0 12.898
301 3 12.3045
301 5 11.2705
301 11 8.265
301 13 6.4315
301 19 3.5405
301 25 1.0795
301 31 0.6355
56 0 4.7565
56 5 4.3205
56 9 4.166
56 18 3.4025
56 21 2.7245
56 31 1.462
56 39 0.3
56 48 0.1865
60 0 4.1555
60 5 4.605
60 9 4.3445
60 18 3.814
60 21 3.252
60 31 1.989
60 39 0.496
60 48 0.277
110 0 7.5755
110 4.5 7.963
110 8 7.831
110 17.5 5.567
110 21 4.937
110 30 2.2715
110 38.5 1.1965
110 58 0.2145
112 0 6.72
112 4 7.9825
112 8 6.415
112 17 6.113
112 20 3.511
112 29 2.8915
112 37 1.097
112 56 0.132
181 0 33.2145
181 2 30.3565
181 5 30.256
181 12 19.566
181 14 15.7335
181 20 7.9215
181 24.5 2.4445
181 35.5 0.513
181 0 27.0935
181 5 23.8995
181 10 20.456
181 15 15.249
181 20 11.7725
181 25 5.827
181 30 3.192
181 40 0.7565
185 0 35.8785
185 3.5 37.078
185 6.5 35.273
185 13 32.5285
185 15 29.355
185 21 13.556
185 26 5.3315
185 39 0.3945
188 0 31.592
188 3.5 35.95
188 7 34.991
188 15 31.9185
188 17 36.931
188 22.5 16.1505
188 28 8.0005
188 39 0.778
162 0 28.55
162 2.5 32.25
162 6.5 28.75
162 12.5 28.05
162 16 25.75
162 24.5 12.15
162 27 6.6
162 39 0.35
165 0 16.7
165 3 17.95
165 8.5 16.45
165 16.5 15.05
165 20.5 12.35
165 30.5 6.4
165 33.5 2.9
165 45 0.2
