"DOY" "Depth" "TIN"
203 0 7.12
203 10.3 7.09
203 20.7 7.1
203 30.1 7.905
203 49.4 10.535
203 74.4 11.575
203 99.6 12.72
203 124.2 13.375
203 150 15.845
203 174 18.615
203 198.5 19.91
203 247.6 21.295
203 0 7.415
203 5.2 7.35
203 10 7.255
203 14.7 7.155
203 20.1 7.2
203 25.4 7.205
203 30.8 7.415
203 35.5 9.415
203 40.4 10.235
203 50.3 10.945
203 74.8 11.84
203 100.2 12.675
203 125.2 12.99
203 150 15.305
203 175.3 19.43
203 201 20.045
203 225.6 20.655
203 0 7.13
203 5.5 7.205
203 25.5 8.09
203 45.4 10.7
203 75.7 11.405
203 100.4 11.725
203 125.5 12.195
203 150 15.095
203 175.8 18.79
203 200.2 20.385
161 0 19.95
161 12 19.73
161 26 19.9
161 52 22.35
161 78 24.55
161 102 25.3
161 127 29.3
161 150 39.38
161 202 43.4
162 0 17.69
162 9.6 17.495
162 20.2 17.54
162 24.8 17.6
162 29.6 17.64
162 50 21.17
162 74.4 22.955
162 99.1 24.945
162 124.2 33.57
162 150 40.55
162 173.5 43.435
162 197.4 44.765
162 246.9 45.5
162 0 18.2
162 2.9 17.935
162 6.8 17.99
162 13.1 17.945
162 15.9 17.93
162 22.3 17.99
162 26.4 17.97
162 30.5 18.22
162 40.1 20.345
162 50.4 22.32
162 75 22.805
162 100 24.47
162 124.9 28.525
162 150 36.2
162 175.4 41.745
162 199.2 43.395
162 224.3 45.09
162 249.7 45.435
165 0 18.39
165 3.7 18.01
165 7.4 17.93
165 16 18.02
165 20.2 18.03
165 26.1 18.005
165 31.1 18.175
165 35.1 18.76
165 45 21.55
165 55.2 22
165 80.2 22.8
165 99.8 23.34
165 125.3 26.235
165 150 35.185
165 175.1 39.45
165 199.7 42.09
165 224.6 43.07
162 0 19.85
162 11 19.59
162 51 22.09
162 101 27.59
162 125 35.1
162 150 40.8
162 201 43.94
162 250 44.89
234 0 4.09
234 11 4.19
234 25 7.16
234 50 24.77
234 76 26.5
234 101 28.58
234 125 29.35
234 150 33.16
234 201 43.13
181 0 18.425
181 5.3 18.41
181 10.2 18.375
181 15.4 18.375
181 20.2 18.42
181 25.7 19.345
181 30.2 20.42
181 40.6 22.8
181 55.6 23.66
181 70.6 25.2
181 85.7 26.36
181 99.8 28.95
181 125 37.445
181 150 41.86
181 176.1 43.585
181 200.5 45.325
181 225.1 45.66
181 0 17.255
181 10.9 17.16
181 20.5 17.56
181 30.3 18.535
181 50.4 21.94
181 75.5 24.155
181 99.3 26.185
181 123.9 32.315
181 150 39.6
181 173.2 42.22
181 196.7 44.225
181 246.9 44.915
185 0 17.375
185 3.1 17.155
185 6.8 17.18
185 12.4 17.195
185 15.1 17.24
185 20.3 17.64
185 25.1 18.155
185 27.9 19.015
185 38.1 22.37
185 50.1 23.75
185 75.4 25.845
185 100.5 28.19
185 125.7 36.575
185 150 42.11
185 175.1 43.735
185 200.5 44.54
185 225.4 44.93
188 0 16.58
188 3.4 16.43
188 6.6 16.485
188 11.9 16.485
188 14.6 16.545
188 19.7 16.89
188 24.9 17.355
188 28.1 17.545
188 35.5 19.355
188 45.1 22.415
188 70.3 25.04
188 100.2 27.255
188 125.2 35.245
188 150 40.825
188 175.2 43.17
188 200.4 44.46
188 224.8 44.95
109 0 25.135
109 10.8 24.93
109 19.5 24.96
109 30.4 24.945
109 52.5 24.945
109 74.5 25.12
109 101 25.665
109 123.6 27.985
109 150 39.245
109 174.7 41.235
109 199 43.35
109 248.2 45.02
110 0 25.425
110 5.2 25.29
110 10.1 25.37
110 19.2 25.415
110 24.4 25.345
110 29 25.37
110 34.2 25.355
110 39.2 25.44
110 43.6 25.5
110 59.1 25.585
110 79.5 25.675
110 100.3 28.11
110 125.6 35.555
110 150 41.695
110 175.3 44.12
110 199.7 44.905
110 225.2 45.1
112 0 25.475
112 5.2 25.305
112 9.2 25.405
112 19.7 25.37
112 25 25.39
112 29.6 25.385
112 34.6 25.415
112 40.2 25.45
112 44.2 25.415
112 59.3 25.545
112 79.3 26.17
112 99.6 27.54
112 124.7 33.645
112 150 38.465
112 175.3 41.405
112 199.7 43.075
112 224.5 44.78
112 250 44.94
56 0 22.13
56 4.5 22.11
56 15.1 22.14
56 20.3 22.125
56 30.5 22.205
56 40.3 22.31
56 50.4 22.265
56 64.6 22.225
56 75.4 22.295
56 79.8 22.375
56 89.7 22.275
56 100.3 23.275
56 125.6 36.255
56 150 39.305
56 174.2 41.51
56 199.8 43.225
56 225 45.045
56 249 45.37
56 0 22.165
