"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-1487.5 2.04259997606277 2.05227744579315 2.05995500087738 2.07608252763748 2.03665000200272 2.06209999322891 2.05714994668961 2.04997497797012 2.05880254507065 2.06907498836517 2.09744995832443 2.07032001018524
-1450 2.08520501852036 2.09123003482819 2.09931498765945 2.09585750102997 2.07659500837326 2.10338252782822 2.0925800204277 2.10592496395111 2.10592246055603 2.10157495737076 2.1392275094986 2.10604500770569
-1400 2.11913251876831 2.13747501373291 2.12897503376007 2.13392746448517 2.10590004920959 2.10552245378494 2.12352496385574 2.1496199965477 2.14122754335403 2.12960505485535 2.1818500161171 2.13370501995087
-1350 2.16142749786377 2.18407744169235 2.17678254842758 2.19020503759384 2.13487499952316 2.12287753820419 2.15737748146057 2.19354754686356 2.18201500177383 2.20794743299484 2.23714751005173 2.17437255382538
-1300 2.21310245990753 2.19955253601074 2.22092252969742 2.23416745662689 2.20027750730515 2.17194998264313 2.19775253534317 2.23602002859116 2.22705501317978 2.22047001123428 2.26419746875763 2.20609503984451
-1250 2.26256000995636 2.24155002832413 2.24215751886368 2.26912498474121 2.22157996892929 2.25259751081467 2.27871996164322 2.26465249061584 2.25875002145767 2.25682502985001 2.30190497636795 2.24805504083633
-1200 2.30360496044159 2.29008001089096 2.29482752084732 2.31894749403 2.2756775021553 2.30045253038406 2.32069498300552 2.3146750330925 2.30265253782272 2.30094492435455 2.36034995317459 2.29379749298096
-1150 2.35032999515533 2.35869753360748 2.34957247972488 2.35871493816376 2.33180499076843 2.3264274597168 2.37255257368088 2.39744997024536 2.35767751932144 2.36827999353409 2.4042449593544 2.34692746400833
-1100 2.40679752826691 2.42859756946564 2.41527503728867 2.41111993789673 2.37932753562927 2.38272750377655 2.41692000627518 2.37359750270844 2.40964752435684 2.42212253808975 2.48085004091263 2.40099495649338
-1050 2.46377503871918 2.46929997205734 2.47934746742249 2.47122246026993 2.43504244089127 2.42617505788803 2.490149974823 2.40975248813629 2.47295999526978 2.46677750349045 2.53259748220444 2.44547498226166
-1000 2.53033000230789 2.53200495243073 2.53377997875214 2.53237247467041 2.47082751989365 2.51807743310928 2.56654500961304 2.43508005142212 2.55990749597549 2.52625244855881 2.5925475358963 2.50136500597
-950 2.58965247869492 2.60492497682571 2.58877497911453 2.60932755470276 2.53262501955032 2.57993000745773 2.63415241241455 2.56424742937088 2.5857999920845 2.56409502029419 2.64364755153656 2.56284749507904
-900 2.67089998722076 2.68322747945786 2.65764498710632 2.68058252334595 2.5947499871254 2.64205253124237 2.70346999168396 2.64642006158829 2.6540424823761 2.65577751398087 2.71004754304886 2.62753003835678
-850 2.72967499494553 2.7428725361824 2.72167754173279 2.71248000860214 2.71982997655869 2.73483246564865 2.76016998291016 2.64808994531631 2.74195247888565 2.73802500963211 2.78622502088547 2.75126999616623
-800 2.78547751903534 2.85776501893997 2.80775499343872 2.80999499559402 2.80396997928619 2.82547497749329 2.82297748327255 2.76097500324249 2.79002749919891 2.79475003480911 2.84139496088028 2.76415252685547
-750 2.85135507583618 2.93722498416901 2.87607502937317 2.89577496051788 2.85435253381729 2.94887495040894 2.93950003385544 2.84788250923157 2.90337252616882 2.8799250125885 2.91282999515533 2.87735253572464
-700 2.93242001533508 2.97345507144928 2.94600754976273 2.93301999568939 2.89135497808456 2.92630749940872 2.96562999486923 2.92667502164841 2.93145000934601 2.940524995327 2.96069747209549 2.85750252008438
-650 2.98719996213913 3.05034506320953 3.05798250436783 3.01290500164032 2.95712000131607 2.98205250501633 3.05592000484467 3.01225000619888 3.04532504081726 2.98224997520447 3.04588001966476 2.975850045681
-600 3.06472992897034 3.09114497900009 3.09900504350662 3.08517754077911 2.99756997823715 3.11075752973557 3.09552502632141 3.05497246980667 3.11119997501373 3.03634756803513 3.04375505447388 3.0253250002861
-550 3.08207494020462 3.15532749891281 3.14837497472763 3.16307747364044 3.07944494485855 3.12728255987167 3.15804994106293 3.11337995529175 3.17041003704071 3.178995013237 3.18772500753403 3.09790247678757
-506.25 3.31657499074936 3.22084748744965 3.18580502271652 3.24515002965927 3.16470247507095 3.24632996320724 3.22417747974396 3.19752252101898 3.22922253608704 3.22176998853683 3.26877003908157 3.20286995172501
-475 3.37979501485825 3.23559498786926 3.23904752731323 3.25001001358032 3.18980747461319 3.27960997819901 3.25192499160767 3.22425246238708 3.27000498771667 3.24648004770279 3.29397749900818 3.22922247648239
-450 3.35324001312256 3.26859492063522 3.27214497327805 3.27360254526138 3.22375500202179 3.29394996166229 3.28830254077911 3.25730502605438 3.30612498521805 3.29534995555878 3.37797248363495 3.30239504575729
-425 3.32509994506836 3.317327439785 3.29734998941422 3.30182498693466 3.25437498092651 3.32072252035141 3.31434994935989 3.26940006017685 3.31607747077942 3.31232243776321 3.39553254842758 3.3354474902153
-400 3.34962499141693 3.33449745178223 3.33430004119873 3.32012498378754 3.27705496549606 3.33479750156403 3.33531999588013 3.2848749756813 3.33569502830505 3.33837747573853 3.41280001401901 3.33909505605698
-375 3.34647250175476 3.34790503978729 3.35290002822876 3.35264497995377 3.29697245359421 3.34429502487183 3.35394245386124 3.3004275560379 3.35339498519897 3.35517251491547 3.35215002298355 3.3601975440979
-350 3.3662074804306 3.35448002815247 3.35530000925064 3.37110501527786 3.33019995689392 3.34227752685547 3.36055248975754 3.31090253591537 3.35627502202988 3.35937505960464 3.34866744279861 3.38530004024506
-325 3.37262243032455 3.38857996463776 3.36327755451202 3.37915003299713 3.34660005569458 3.33742755651474 3.3709300160408 3.32842999696732 3.35047745704651 3.36900496482849 3.34587001800537 3.37955498695374
-300 3.39564752578735 3.36892253160477 3.36264753341675 3.37463003396988 3.34843993186951 3.32600253820419 3.36679500341415 3.34304749965668 3.3353299498558 3.36010253429413 3.31225502490997 3.379370033741
-275 3.38580250740051 3.35777997970581 3.36044996976852 3.35422247648239 3.32911002635956 3.3074699640274 3.3494525551796 3.35042244195938 3.31764495372772 3.36610740423203 3.32220250368118 3.36130499839783
-250 3.38269507884979 3.35076999664307 3.37449753284454 3.32675498723984 3.27178001403809 3.27432245016098 3.30995243787766 3.32181745767593 3.33001750707626 3.31247252225876 3.27804499864578 3.3489100933075
