"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-4176.0365831852 5.41868856687923e-07 -1.45037996703888e-08 9.02870974055963e-08 3.88604207735484e-07 1.56019381218921e-07 -1.34616565787512e-07 -2.28660316964538e-07 -5.01775713336449e-07 -1.43690092913106e-07 -4.64775709860723e-07 6.42013335568699e-08 1.26112384689306e-07
-3596.59008741379 2.52594333864089e-07 1.05073774065543e-06 3.77778555717928e-07 6.1418745394072e-07 8.81182425758595e-07 2.19952292561657e-07 7.44408486454545e-08 -1.63967866815284e-08 -3.38064075749043e-07 -1.2012427705593e-07 3.44197158006479e-07 4.20839498276435e-07
-3097.78495788574 2.01084829474275e-07 1.1523251484203e-06 4.39404836893572e-07 6.36102663727151e-07 6.94321589877228e-07 2.69467111405455e-07 -5.57389760053149e-09 -4.52853591138196e-08 -4.39664022841767e-07 -1.838114665578e-07 3.92377035230845e-07 6.55668511822139e-07
-2668.38782548904 4.95098260148925e-07 1.05012535520713e-06 6.98719022873955e-07 8.07026611320101e-07 7.64367221906504e-07 2.82071694860606e-07 3.83505557878171e-08 -1.93626268235075e-07 -4.64333353219057e-07 -2.36309981809557e-07 4.86233152710662e-07 7.57277656081805e-07
-2298.73064398766 1.92837885163602e-07 1.39730504711685e-06 8.37524973655341e-07 8.83657313346172e-07 8.07269127648917e-07 3.28311244210661e-07 9.98516457199418e-08 -1.42833219643289e-07 -5.53141358902203e-07 -2.12178623673893e-07 5.43254352512808e-07 9.32786354715101e-07
-1980.49199700356 3.54943273552005e-07 1.3615564897253e-06 8.59808097059458e-07 8.91466355891726e-07 7.56291457581192e-07 1.9988619687838e-07 1.55149849888262e-09 -2.08862298096529e-07 -5.71532311906007e-07 -3.00672465549738e-07 6.69255547882927e-07 1.0113755636738e-06
-1706.50910139084 3.94850676160121e-07 1.41276749074327e-06 1.04660178052647e-06 9.02769034978754e-07 9.73167097343974e-07 1.90897001001907e-07 4.44419887185259e-08 -2.67212981389332e-07 -7.8536797049262e-07 -2.31049104269463e-07 6.83139912580982e-07 1.1532847591098e-06
-1470.61719894409 3.40906670047468e-07 1.45178684065308e-06 1.07201966962919e-06 9.63899008734984e-07 7.34750831377692e-07 2.68544299921211e-07 -4.25686746268831e-08 -3.66566683536387e-07 -7.79545680051679e-07 -3.59951766855031e-07 7.29245862531119e-07 1.28756968878935e-06
-1267.50989198685 3.59479695811307e-07 1.62083502582887e-06 1.12560589721078e-06 1.03110599733635e-06 8.54252738930081e-07 3.17471151210514e-07 1.28445185903472e-07 -2.85398451558932e-07 -8.52930460747132e-07 -2.90098327082314e-07 8.15812323247355e-07 1.32644251926027e-06
-1092.62005209923 2.81694659241258e-07 1.56301841982336e-06 1.18200695756714e-06 1.05483216000814e-06 8.2383686832696e-07 2.86872281454659e-07 -5.30037158165449e-08 -4.21265130396348e-07 -9.41766579852305e-07 -4.2186931948454e-07 7.18784062108408e-07 1.48449422813936e-06
