"DOY" "Depth" "TIN"
178 0 0.185
178 10 0.015
178 19.7 0.025
178 29.6 0.03
178 49.4 0.02
178 75.1 0.625
178 99.3 3.03
178 124 3.465
178 147.9 3.91
178 174.2 3.825
178 200 3.965
179 0 0.845
179 4 0.085
179 11.7 0.14
179 26.8 0.065
179 32.9 0.05
179 39.8 0.055
179 48.1 0.06
179 52.9 0.055
179 57.6 0.05
179 66.2 0.7
179 76.2 2.76
179 90.5 2.75
179 107.5 3.37
179 150 3.71
179 175.4 3.345
179 200 3.735
179 224.6 3.74
182 0 0.175
182 7.2 0.095
182 17.7 0.095
182 31.1 0.055
182 36.2 0.065
182 43.1 0.07
182 50 0.125
182 55.8 0.435
182 59.9 0.54
182 74.1 2.025
182 84.7 2.345
182 99.9 2.915
182 120.1 3.4
182 150.2 3.5
182 174.8 3.395
182 200 3.455
182 225.9 3.555
182 248.9 3.745
182 6.6 0.1
182 20 0.07
182 29.4 0.07
182 39.6 0.09
182 59.3 0.42
182 84.8 2.31
182 99.7 2.96
182 149.4 4.19
182 200 3.7
184 6.1 0.055
184 9.7 0.06
184 19.7 0.05
184 40.1 0.05
184 59.3 0.04
184 79.6 0.045
184 86.1 0.475
184 99.3 2.21
184 119.5 2.975
184 139 3.46
184 159 4.105
184 178.9 4.245
184 200 3.905
184 247.5 5.34
205 0 0.21
205 10 0.03
205 20.6 0.04
205 30.2 0.055
205 49.6 0.03
205 74.6 1.985
205 99.9 2.915
205 124.3 3.31
205 149.4 3.745
205 173.9 3.715
205 200 3.13
205 248.7 3.795
205 0 0.26
205 6.5 0.08
205 19.7 0.065
205 24.7 0.045
205 41.4 0.06
205 47.7 0.09
205 59.4 0.07
205 70.1 0.065
205 78 0.065
205 85.5 0.39
205 94.4 1.68
205 105.6 2.37
205 124.9 2.955
205 139.9 3.07
205 175.3 3.215
205 200 3.25
205 225 3.475
208 0 0.14
208 6.2 0.095
208 15.3 0.055
208 20.7 0.045
208 36.5 0.06
208 44.6 0.07
208 56 0.06
208 65.7 0.06
208 70.5 0.135
208 80.7 0.43
208 85.5 0.565
208 100.8 1.24
208 130.4 2.495
208 150.2 2.905
208 175.8 3.795
208 200 3.355
208 225.9 4.18
211 6.4 0.07
211 10.2 0.05
211 20.1 0.03
211 40.5 0.05
211 60.7 0.06
211 79.9 0.43
211 99.9 2.69
211 119.9 2.93
211 139.5 2.94
211 159.9 3.22
211 179.2 3.46
211 200 3.9
211 248.8 4.61
211 6.4 0.07
211 10.3 0.3
211 20.4 0.03
211 40 0.03
211 60.1 0.04
211 79.8 2.16
211 99.7 0.49
211 119.8 2.2
211 139.7 2.99
211 159.3 3.39
211 179.1 3.59
211 200 3.65
211 249 3.99
211 6.5 0.05
211 10.4 0.03
211 20.4 0.04
211 40.3 0.06
211 60.3 0.05
211 79.8 0.08
211 99.5 1.315
211 119.9 2.42
211 139.2 2.99
211 159.3 3.4
211 179.6 4.16
211 200 4.3
211 249.8 3.97
211 6.6 0.05
211 10.4 0.03
211 20.6 0.03
211 40 0.11
211 59.7 0.04
211 80.3 0.03
211 99.4 1.62
211 119.6 2.68
211 139.4 2.96
211 159.6 3.27
211 179.4 3.59
211 200 3.76
211 248 4.06
212 6.8 0.06
212 10.7 0.04
212 20.6 0.04
212 40.4 0.05
212 60.2 0.04
212 79.9 0.11
212 99.8 1.445
212 120 2.54
212 139.7 2.9
212 159.4 3.29
212 179.3 3.34
212 200 3.9
212 248.4 3.56
118 0 0.13
118 5 0.115
118 9.7 0.13
118 20.2 0.16
118 25.2 0.185
118 30 0.19
118 34.7 0.22
118 39.5 0.345
118 55.3 0.295
118 69.1 0.495
118 84.8 1.295
118 100.9 3.71
118 125 2.79
118 150.7 3.405
118 174.6 4.405
118 200 5.625
118 224.8 6.93
118 250 8.15
119 0 0.13
119 9.9 0.01
119 19.9 0.03
119 30 0.03
119 49.6 0.19
119 74.4 1.175
119 98.5 2.365
119 123.1 2.64
119 148.6 2.065
119 173.6 2.29
119 200 2.385
120 0 0.16
120 4.6 0.16
120 9.5 0.17
120 19.5 0.145
120 24.5 0.18
120 29.6 0.155
120 34.2 0.165
120 40.2 0.17
120 45 0.525
120 54.8 1.065
120 74.7 2.435
120 100 2.06
120 124.5 2.905
120 149.9 3.21
120 174.8 3.585
120 200 3.96
120 224.5 4.94
120 249.7 5.42
44 0 0.545
44 9.7 0.45
44 20.2 0.46
44 30.4 0.585
44 49.9 0.84
44 74.5 1
44 98.6 1.215
44 124.1 1.76
44 149.9 1.745
44 174.2 1.975
44 200 2.635
44 248.7 6.245
45 0 0.67
45 5.7 0.56
45 15.3 0.58
45 25.2 0.55
45 34.4 0.655
45 45.2 0.635
45 49.8 0.865
45 60.2 1.07
45 75.5 1.13
45 80.2 1.115
45 90.2 1.26
45 99.5 1.28
45 124.7 1.72
45 150.2 1.955
45 175.5 2.175
45 200 3.06
45 225.6 5.3
48 0 0.865
48 5.5 0.685
48 15.1 0.66
48 20.7 0.7
48 30.9 0.68
48 40 0.645
48 54.9 0.51
48 60.1 0.53
48 70.3 0.615
48 84.5 0.655
48 89.8 0.71
48 100.9 0.8
48 125.4 1.37
48 150.3 2.285
48 175.8 2.57
48 200 4.355
48 225.1 5.8
310 0 0.0665
310 4.4 0.0085
310 10.1 0.0335
310 24.4 0.017
310 49.6 0.0315
310 74.7 0.191
310 99.4 3.4235
310 123.8 3.2225
310 149.6 4.8095
310 173.5 3.9895
310 200 3.9865
310 247 6.038
311 0 0.154
311 9.6 0.1005
311 19.7 0.058
311 29.8 0.0445
311 39.9 0.063
311 50.4 0.062
311 65 0.0815
311 75.7 0.07
311 91 0.222
311 95.5 0.449
311 105.8 0.883
311 105.9 0.8855
311 125.3 1.8915
311 150.4 3.644
311 175.4 3.8535
311 200 3.841
311 226 4.2445
313 0 0.0665
313 5.7 0.0515
313 10 0.036
313 19.6 0.0405
313 34.5 0.0455
313 40.2 0.0365
313 54.4 0.0375
313 65.3 0.038
313 70 0.0415
313 79.8 0.0405
313 94.9 0.0465
313 110.1 0.5085
313 125.4 1.241
313 149.8 3.2975
313 174.4 4.4645
313 200 4.692
313 225.6 6.319
313 249.6 6.5955
31 0 0.075
31 9.6 0.075
31 20.1 0.04
31 29.8 0.06
31 50 0.205
31 74.8 0.735
31 99.1 0.775
31 124 0.88
31 148.3 2.265
31 173.8 3.35
31 200 3.77
31 248.5 5.075
31 0 0.53
31 4.8 0.385
31 15.1 0.34
31 24.7 0.355
31 34.7 0.415
31 45 0.43
31 49.9 0.47
31 64.2 0.645
31 69.8 0.61
31 80.1 0.645
31 90.4 0.725
31 100.1 0.79
31 125 1.495
31 150.3 2.93
31 174.9 3.585
31 200 4.375
31 224.7 4.71
31 249.9 5.695
33 0 0.185
33 5 0.125
33 14.7 0.12
33 19.7 0.135
33 30.4 0.145
33 39.3 0.175
33 50.5 0.24
33 60.4 0.28
33 70.3 0.26
33 85.4 0.355
33 91.2 0.405
33 99 0.575
33 124 0.715
33 150.9 0.79
33 175.4 2.66
33 200 3.325
33 226.4 3.935
33 250 4.49
39 0 0.63
39 5.6 0.52
39 15.6 0.51
39 19.7 0.595
39 30.9 0.51
39 40.7 0.59
39 50.3 0.615
39 59.7 0.615
39 70.4 0.645
39 84.4 1.065
39 89.8 1.21
39 100.4 2.71
39 125.9 2.895
39 149.9 3.455
39 175.1 3.765
39 200 4.505
39 225.2 4.81
40 0 1.05
40 5.1 1.025
40 10.4 1.015
40 19.9 1.07
40 30.3 1
40 39.9 1.03
40 49.9 1.015
40 60.5 1.025
40 70.2 1.02
40 80.9 1.03
40 89.5 1.05
40 100.3 1.09
40 125.3 1.015
40 150.3 1.265
40 175 3.445
40 200 4.12
40 224.3 4.965
41 0 0.76
41 9.9 0.735
41 20 0.74
41 30.1 0.775
41 49 0.735
41 74.3 0.8
41 99 0.76
41 124.4 0.775
41 148.5 1.16
41 173.8 1.875
41 200 3.795
41 248.3 5.21
41 0 0.33
41 5.7 0.265
41 10.1 0.29
41 20.2 0.265
41 34.8 0.31
41 40 0.39
41 50 0.57
41 60.1 0.485
41 70.8 0.905
41 80 1.58
41 94.9 2.75
41 100.9 2.87
41 125.3 3.45
41 150.3 3.87
41 175 4.165
41 200 4.385
41 225.6 5.02
258 0 0.03
258 12 0
258 27 0
258 52 0
258 77 0.06
258 77 0.1
258 102 1.7
258 126 2.15
258 149 3.1
258 200 3.49
258 250 3.68
52 0 0.96
52 10 0.96
52 26 0.93
52 51 0.98
52 77 1.15
52 100 1.21
52 127 2.01
52 150 2.33
52 200 5.22
52 249 7.18
52 249 7.17
347 0 0.07
347 12 0.02
347 27 0.09
347 52 0.11
347 78 0.11
347 103 0.37
347 127 2.71
347 152 3.88
347 200 4.44
341 0 0
341 11 0
341 26 0
341 50 0
341 76 0
341 100 0.24
341 126 1.08
341 152 0.64
341 200 2.97
278 0 0.04
278 13 0.02
278 28 0.02
278 52 0
278 76 0.02
278 102 0.01
278 127 0.11
278 153 1.04
278 200 3.96
343 0 0
343 12 0
343 27 0
343 52 0
343 76 0
343 102 0.63
343 127 2
343 151 3.04
343 200 3.65
191 0 0.03
191 11 0
191 26 0
191 51 0
191 77 0.16
191 102 3.13
191 127 3.64
191 150 3.83
191 200 4.14
119 0 0.1
119 11 0.11
119 26 0.08
119 50 1.13
119 75 2.25
119 101 2.38
119 126 2.36
119 150 2.5
119 200 2.37
119 250 2.6
195 0 0.175
195 10.1 0.075
195 20.2 0.07
195 29.8 0.055
195 49.6 0.05
195 74.8 0.05
195 99.3 0.085
195 123.8 0.565
195 149.3 1.345
195 174.1 1.64
195 200 1.835
195 249.1 2.075
195 0 0.185
195 7.9 0.07
195 21 0.075
195 34.8 0.065
195 39.9 0.065
195 45.2 0.07
195 55.1 0.06
195 60.4 0.065
