"DOY" "Depth" "PP"
31 0 16.2
31 5 12.2
31 11 11.6
31 26 10.3
31 33 7.3
31 41 3.4
31 50 1.5
31 59 0.7
33 0 6.7
33 5 7.6
33 11 7.1
33 26 6.4
33 33 5.7
33 41 3.2
33 50 1.7
33 59 0.6
39 0 8.6
39 6 12.7
39 13 11.4
39 28 9.6
39 33 7.2
39 41 3.1
39 50 1.6
39 54 0.8
41 0 13.9
41 5 12.7
41 13 10.9
41 30 8.3
41 39 5.6
41 48 2.1
41 57 1.3
41 61 0.7
311 0 1.847
311 10 1.7975
311 30 1.3525
311 50 0.495
311 65 0.3445
311 75 0.355
311 90 0.192
311 105 0.093
311 0 1.795
311 6 1.922
311 16 1.6165
311 38 1.033
311 44 0.6435
311 58 0.6925
311 69 0.328
311 79 0.246
313 0 0.96
313 8 2.1085
313 20 2.022
313 45 1.557
313 50 1.622
313 62 1.3785
313 72 0.6755
313 82 0.3935
45 0 27.9715
45 5 26.4365
45 15 22.064
45 25 14.265
45 35 6.6465
45 45 3.0685
45 60 0.4735
45 75 0.1985
45 0 34.865
45 4 30.712
45 9 25.416
45 19 22.484
45 22 21.2295
45 31 12.324
45 40 3.0825
45 49 1.2545
48 0 27.2785
48 5 24.9375
48 10 23.748
48 23 20.8815
48 27 18.67
48 38 13.7145
48 48 2.8065
48 57 1.6965
118 0 14.6175
118 4.5 15.607
118 8.5 14.0445
118 18.5 9.369
118 21.5 7.0165
118 31 2.491
118 39 0.9305
118 64 0.2115
120 0 8.738
120 5.5 6.2805
120 9.5 6.8805
120 20 4.151
120 23 4.592
120 34 2.554
120 44.5 3.839
120 67.5 0.0955
205 0 2.23
205 7 2.356
205 20 2.577
205 44 3.2005
205 51 4.0185
205 65 1.8735
205 75 1.809
205 94 0.249
208 0 2.6975
208 7 2.741
208 16 2.8755
208 36.5 4.564
208 41.5 3.763
208 56 1.9525
208 67 2.143
208 85 0.2725
179 0 4.95
179 4 5.35
179 12.5 6.85
179 26 4.1
179 32 4
179 45.5 2.55
179 54 1.7
179 79 0.6
182 0 2.85
182 5 6.05
182 14 5.2
182 29 2.7
182 35 2.05
182 49 2.6
182 56 1.6
182 83 0.2
