botid; date; time; press; nit; chl; l12; d12
#; mmddyy; hhmmss; dbar; umol/kg; ug/l; mg C/m3; mg C/m3
10200312;103188;15704;4.7;0.02;-9;-9;-9
10200311;103188;15529;39.4;0.04;-9;-9;-9
10200310;103188;15401;99.4;0.21;-9;-9;-9
10200309;103188;15220;150.3;2.07;-9;-9;-9
10200308;103188;15059;191.8;2.26;-9;-9;-9
10200307;103188;14953;217;3.79;-9;-9;-9
10200306;103188;14757;279.9;8.01;-9;-9;-9
10200705;103188;150832;10.7;0;-9;-9;-9
10200704;103188;150658;25.5;0.04;0.13;-9;-9
10200703;103188;150517;42.9;0.02;0.19;-9;-9
10200702;103188;150335;68.3;0;0.29;-9;-9
10200701;103188;150129;114.4;0.4;0.33;-9;-9
10201111;110188;120733;16.6;0.02;-9;-9;-9
10201110;110188;120612;36.5;0;-9;-9;-9
10201109;110188;120440;56.4;0.02;-9;-9;-9
10201108;110188;120300;77.8;0;-9;-9;-9
10201107;110188;120127;97.8;0;-9;-9;-9
10201106;110188;120000;117.3;0.36;-9;-9;-9
10201105;110188;115843;137.8;1.3;-9;-9;-9
10201104;110188;115719;157.7;2.37;-9;-9;-9
10201103;110188;115519;181.8;3.07;-9;-9;-9
10201102;110188;115244;204.2;4.21;-9;-9;-9
10201101;110188;115101;228.8;4.92;-9;-9;-9
20200411;120288;104126;15.6;0.07;-9;-9;-9
20200410;120288;103231;99.5;0.18;-9;-9;-9
20200409;120288;103002;136.4;0.12;-9;-9;-9
20200408;120288;102305;173.3;2.23;-9;-9;-9
20200407;120288;102024;238;3.43;-9;-9;-9
20200510;120288;142015;1.5;0.05;-9;-9;-9
20200509;120288;141852;21.2;0.05;0.19;-9;-9
20200508;120288;141745;46.2;0.07;0.18;-9;-9
20200507;120288;141647;71.1;0.05;0.38;-9;-9
20200506;120288;141521;97.9;0.21;0.27;-9;-9
20200505;120288;141354;122.9;0.72;0.17;-9;-9
20200504;120288;141204;148.6;1.61;0.04;-9;-9
20200503;120288;140959;177.6;2.03;0.03;-9;-9
20200811;120288;225346;1.6;0.05;-9;-9;-9
20200810;120288;225240;16.2;0.05;-9;-9;-9
20200809;120288;225126;37.8;0.07;-9;-9;-9
20200808;120288;225026;57.9;0.07;-9;-9;-9
20200807;120288;224941;79.2;0.07;-9;-9;-9
20200806;120288;224846;98.9;0.55;-9;-9;-9
20200805;120288;224756;119.7;0.76;-9;-9;-9
20200804;120288;224703;139.8;1.59;-9;-9;-9
20200803;120288;224558;161.5;1.77;-9;-9;-9
20200802;120288;224503;181.1;2.05;-9;-9;-9
20200801;120288;224256;258.5;5.35;-9;-9;-9
20200911;120388;14057;277.2;6.72;-9;-9;-9
30200212;10889;71857;35.9;0.02;-9;-9;-9
30200211;10889;71454;204.9;3.41;-9;-9;-9
30200312;10889;104034;19.7;0.02;-9;-9;-9
30200311;10889;103714;118.8;0.38;-9;-9;-9
30200310;10889;103432;186;2.75;-9;-9;-9
30200309;10889;103200;252.9;5.2;-9;-9;-9
30200410;10889;143637;4.9;0.02;-9;-9;-9
30200409;10889;143356;22.8;0.04;-9;-9;-9
30200408;10889;143232;43.3;0.02;-9;-9;-9
30200407;10889;143045;72.7;0.04;0.24;-9;-9
30200406;10889;142841;97.7;0.04;0.27;-9;-9
30200405;10889;142715;122.2;0.11;0.24;-9;-9
