"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-1487.5 2.83492255210876 2.82789999246597 2.81120496988297 2.81557756662369 2.83144998550415 2.83308005332947 2.83019495010376 2.81240248680115 2.86529248952866 2.81138002872467 2.83849745988846 2.82319498062134
-1450 2.90279245376587 2.91571998596191 2.91300004720688 2.90892499685287 2.92109751701355 2.92557746171951 2.92429751157761 2.92353498935699 2.96737498044968 2.90824246406555 2.93784999847412 2.91904997825623
-1400 3.00664746761322 3.01262497901917 3.01113253831863 2.98337000608444 3.01274251937866 3.03228497505188 3.02219748497009 3.02465999126434 3.04962503910065 3.00569748878479 3.04947000741959 3.00957250595093
-1350 3.11379754543304 3.10274505615234 3.10247498750687 3.08647000789642 3.11343997716904 3.130755007267 3.13853245973587 3.10125005245209 3.15094995498657 3.11422497034073 3.16082000732422 3.08995002508163
-1300 3.22069495916367 3.2148500084877 3.221794962883 3.20472240447998 3.21440500020981 3.24062502384186 3.25702744722366 3.20887744426727 3.26217496395111 3.22849994897842 3.26621997356415 3.21759241819382
-1250 3.33140003681183 3.32808250188828 3.3405424952507 3.3405424952507 3.3598775267601 3.33679503202438 3.36340498924255 3.32192504405975 3.39870005846024 3.34542745351791 3.37285250425339 3.33812999725342
-1200 3.44957500696182 3.47153002023697 3.4539749622345 3.45440250635147 3.46837002038956 3.48119252920151 3.49452245235443 3.46204501390457 3.50529497861862 3.45830500125885 3.51470500230789 3.4737024307251
-1150 3.52725005149841 3.57545250654221 3.56609493494034 3.56129747629166 3.56875503063202 3.58964002132416 3.61747246980667 3.57799249887466 3.62511998414993 3.60857498645782 3.64024752378464 3.5748850107193
-1100 3.65706998109818 3.70609503984451 3.69624501466751 3.69179999828339 3.6991274356842 3.72440254688263 3.75033247470856 3.70984500646591 3.75538998842239 3.71574252843857 3.77280503511429 3.73484748601913
-1050 3.79637002944946 3.84331500530243 3.82022500038147 3.81250494718552 3.82444751262665 3.85329741239548 3.86437994241714 3.8153350353241 3.90874499082565 3.84606748819351 3.92056751251221 3.86920750141144
-1000 3.92740505933762 3.98106998205185 3.95397502183914 4.04102754592896 3.97107249498367 4.00192755460739 4.0127050280571 3.96285253763199 4.03077507019043 3.98103255033493 4.06593000888824 4.0115025639534
-950 4.09754991531372 4.10489749908447 4.09984993934631 4.16842746734619 4.13015496730804 4.12332010269165 4.15667498111725 4.13084745407104 4.19459247589111 4.11687505245209 4.22197496891022 4.16955244541168
-900 4.26352500915527 4.2845299243927 4.26364505290985 4.29724729061127 4.27114748954773 4.26829993724823 4.31243252754211 4.2866473197937 4.29982006549835 4.26914989948273 4.3971951007843 4.32289004325867
