"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-5375 NA NA NA NA NA NA NA NA NA NA NA NA
-5125 NA NA NA NA NA NA NA NA NA NA NA NA
-4875 NA NA NA NA NA NA NA NA NA NA NA NA
-4625 NA NA NA NA NA NA NA NA NA NA NA NA
-4375 NA NA NA NA NA NA NA NA NA NA NA NA
-4125 NA NA NA NA NA NA NA NA NA NA NA NA
-3875 NA NA NA NA NA NA NA NA NA NA NA NA
-3625 NA NA NA NA NA NA NA NA NA NA NA NA
-3375 NA NA NA NA NA NA NA NA NA NA NA NA
-3125 NA NA NA NA NA NA NA NA NA NA NA NA
-2875 NA NA NA NA NA NA NA NA NA NA NA NA
-2625 NA NA NA NA NA NA NA NA NA NA NA NA
-2375 NA NA NA NA NA NA NA NA NA NA NA NA
-2125.01 NA NA NA NA NA NA NA NA NA NA NA NA
-1875.11 NA NA NA NA NA NA NA NA NA NA NA NA
-1625.7 NA NA NA NA NA NA NA NA NA NA NA NA
-1378.57 NA NA NA NA NA NA NA NA NA NA NA NA
-1139.15 NA NA NA NA NA NA NA NA NA NA NA NA
-918.37 NA NA NA NA NA NA NA NA NA NA NA NA
-729.35 NA NA NA NA NA NA NA NA NA NA NA NA
-579.31 NA NA NA NA NA NA NA NA NA NA NA NA
-465.91 NA NA NA NA NA NA NA NA NA NA NA NA
-381.39 NA NA NA NA NA NA NA NA NA NA NA NA
-317.65 NA NA NA NA NA NA NA NA NA NA NA NA
-268.46 NA NA NA NA NA NA NA NA NA NA NA NA
-229.48 NA NA NA NA NA NA NA NA NA NA NA NA
-197.79 1.52990137394227e-05 2.62730487179397e-05 3.44733431631994e-05 4.52713506149394e-05 5.70848840482086e-05 7.18724377009039e-05 9.33655107644427e-05 0.00011083722685612 0.000130794525006195 0.000143605100873856 0.000157782151603669 0.000169760440343225
-171.4 1.26521632068943e-05 2.10065225871858e-05 2.66060416436176e-05 3.47701478915496e-05 4.40369711895983e-05 5.66825550407657e-05 7.45987515289315e-05 8.93379790101179e-05 0.000107089086530898 0.000118942253753751 0.000132615900757749 0.000147759379534484
-148.96 1.09046377474442e-05 1.74615819332757e-05 2.21161151188198e-05 2.95865028050457e-05 3.83062247095722e-05 5.04457508867517e-05 6.73280970175938e-05 8.07255131434204e-05 9.75919013939119e-05 0.000109410328477111 0.000123023585146598 0.00013865654669587
-129.49 9.19406954835722e-06 1.42299470553553e-05 1.80140043397614e-05 2.47729953883891e-05 3.28401261953104e-05 4.43208201517109e-05 6.00874330842771e-05 7.20824668718478e-05 8.79675562686089e-05 9.94899910295999e-05 0.000112680917581542 0.000127917317158222
-112.32 7.63402283610048e-06 1.14110420952329e-05 1.43667511451895e-05 2.03678386583306e-05 2.77548493272661e-05 3.84740465619871e-05 5.30275308960881e-05 6.36119568184768e-05 7.84490406999794e-05 8.94602682706136e-05 0.000101999510150108 0.000116351814256177
-96.92 6.22538232164516e-06 8.91640414124595e-06 1.10968536262135e-05 1.62933709759727e-05 2.30224842141524e-05 3.28951253720788e-05 4.62082076353454e-05 5.54443793987502e-05 6.91924588807069e-05 7.95252120440182e-05 9.12224109868021e-05 0.000104399470131966
-82.92 4.94308085308148e-06 6.71639847382721e-06 8.10844313292591e-06 1.24850271348009e-05 1.85554030238677e-05 2.75173343950996e-05 3.96315043715845e-05 4.76129051847352e-05 6.02207786712938e-05 6.97435820100623e-05 8.04498960249589e-05 9.22253769957138e-05
-70.02 3.78643767362519e-06 4.79985833123919e-06 5.49171747366017e-06 9.19374022601005e-06 1.45946668510533e-05 2.26001961038946e-05 3.3589865012118e-05 4.04002686025251e-05 5.1766154086863e-05 6.03851684388701e-05 6.99868777189749e-05 8.02475529724234e-05
-57.98 2.60813359886924e-06 2.99623122401727e-06 3.6231420139643e-06 6.74754132745647e-06 1.15355084275848e-05 1.85105975774036e-05 2.83997625487586e-05 3.4071146966852e-05 4.39771010967149e-05 5.16209828553826e-05 6.0075590123887e-05 6.89159529763117e-05
-46.61 1.52595870872574e-06 1.31138144610077e-06 2.29198754908566e-06 4.76878339128461e-06 8.44449062498143e-06 1.35848043854025e-05 2.11297523335929e-05 2.50069578058287e-05 3.25262953495553e-05 3.86235393037282e-05 4.56078407253813e-05 5.30449806959155e-05
-35.76 9.5440169189942e-07 4.24681168453844e-07 1.86570390070528e-06 3.72559373573722e-06 6.39987775485906e-06 9.48496188613035e-06 1.45421566983828e-05 1.64468104983939e-05 2.11820013831243e-05 2.56173527546366e-05 3.07318610239804e-05 3.5798927378039e-05
-25.28 2.50129465939608e-06 3.94965366723454e-06 4.75881660833011e-06 6.91531153762526e-06 8.33937276212282e-06 6.51489262537552e-06 6.71571314825314e-06 2.51776892667976e-06 1.67243424442631e-06 3.09899760253529e-06 5.3727047983898e-06 5.32636058636626e-06
-15.07 9.03376786709487e-07 1.85424545584567e-06 2.31878763834459e-06 3.22368177485544e-06 3.42755439142195e-06 2.10285459623094e-06 2.0370159905525e-06 -1.75890156661751e-07 -6.45223187767385e-07 1.46179766069565e-07 1.22958699311226e-06 2.11515891468395e-06
-5.01 -1.62875788412009e-08 -1.10264183339481e-08 -7.57473411772125e-09 -8.18429729543269e-09 2.58765292526775e-09 1.42364308675091e-08 1.4869357370384e-08 -7.16792840360636e-09 -1.18429117207386e-08 -2.46872442072332e-08 -1.79743827183332e-08 -2.29708155413677e-08
