"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-4176.0365831852 0 0 0 0 0 0 0 0 0 0 0 0
-3596.59008741379 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-3097.78495788574 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-2668.38782548904 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-2298.73064398766 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1980.49199700356 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1706.50910139084 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1470.61719894409 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1267.50989198685 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1092.62005209923 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-942.016550302505 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-812.315661907196 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-700.604972839355 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-604.377481937409 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
