"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-493.75 43.2538747787476 43.4648103713989 44.5714740753174 44.839391708374 45.3625564575195 44.1627130508423 43.8628997802734 44.3545684814453 38.0785789489746 45.1983318328857 48.0310306549072 44.7678203582764
-475 42.7430009841919 42.9261884689331 44.1369590759277 45.1827249526978 45.3507766723633 44.1948003768921 43.8338651657104 44.4621295928955 37.9564800262451 45.0586538314819 47.026421546936 45.5709409713745
-450 42.8233060836792 42.939112663269 43.794228553772 45.4895887374878 45.3682155609131 44.3328132629395 43.8841676712036 44.5990524291992 39.8728303909302 45.0574493408203 47.1876363754272 45.5819292068481
-425 42.2738904953003 42.2490873336792 43.05677318573 45.2778854370117 45.3057899475098 44.3189525604248 44.0816516876221 44.8977546691895 42.8086385726929 44.9279537200928 47.0452833175659 45.5202941894531
-400 41.0273885726929 40.9215593338013 41.3624706268311 46.3492317199707 45.1928415298462 44.0223627090454 43.6237058639526 44.4445400238037 40.3093528747559 45.0432529449463 47.1948852539062 43.8982667922974
-375 40.2354936599731 40.1483993530273 40.9114093780518 45.2565927505493 44.9211416244507 43.9563732147217 43.534029006958 43.9757890701294 39.2912197113037 44.5653810501099 44.0845317840576 46.0556030273438
-350 40.338134765625 40.0823974609375 40.9943838119507 45.0160551071167 44.82532787323 43.7973394393921 43.3429489135742 43.8363637924194 38.6083135604858 44.097918510437 41.5336561203003 44.3032608032227
-325 41.2164859771729 41.0107355117798 41.9501333236694 44.9765033721924 44.8491907119751 43.9813938140869 43.548791885376 43.7668361663818 42.5255918502808 43.9211273193359 41.1716270446777 42.4597797393799
-300 41.1160230636597 40.870626449585 41.8024864196777 46.1408243179321 44.7883825302124 43.8297395706177 43.2432813644409 42.9448490142822 37.3088426589966 44.0229053497314 40.3719139099121 40.4860229492188
-275 38.9592571258545 38.2582178115845 39.258641242981 42.4736137390137 43.5318555831909 41.112530708313 43.4731435775757 43.6263742446899 35.7621250152588 43.3143329620361 39.972484588623 39.7971591949463
-250 38.2218332290649 38.1089859008789 38.3656911849976 40.5663452148438 42.8970642089844 39.7514429092407 42.9874172210693 43.21764087677 34.9509000778198 42.8947992324829 41.3921146392822 42.299464225769
