"DOY" "Depth" "SIZE10" "SIZE3" "SIZE1" "SIZE_L1"
24 5.4 0.07 0.05 0.13 0.06
24 15.3 0.07 0.06 0.16 0.04
24 24.7 0.07 0.05 0.13 0.06
24 35.3 0.07 0.05 0.11 0.05
24 45.1 0.06 0.05 0.11 0.06
24 60.3 0.06 0.05 0.11 0.06
24 69.5 0.07 0.06 0.11 0.05
24 100.1 0.07 0.05 0.14 0.04
24 125.9 0.01 0.01 0 0
25 5 0.11 0.05 0.11 0.08
45 5.8 0.11 0.07 0.12 0.1
46 4.6 0.12 0.06 0.13 0.12
46 10.1 0.1 0.06 0.15 0.11
46 25.4 0.11 0.06 0.15 0.11
46 30.5 0.11 0.09 0.15 0.1
46 39.3 0.12 0.08 0.18 0.07
46 54.6 0.1 0.08 0.17 0.08
46 69.4 0.1 0.08 0.15 0.09
46 99.9 0.09 0.07 0.18 0.07
46 125.2 0.09 0.07 0.13 0.08
301 48.9 0.02 0.06 0.15 0.02
301 59.2 0.02 0.03 0.11 0.02
301 80 0.01 0.01 0.01 0
301 6.1 0.03 0.1 0.4 0.14
301 9.9 0.03 0.1 0.37 0.12
301 14.6 0.02 0.1 0.34 0.12
301 19.1 0.02 0.1 0.36 0.2
301 28.9 0.03 0.15 0.36 0.12
301 40.5 0.02 0.08 0.37 0.15
301 44.7 0.03 0.06 0.25 0.06
299 44.6 0.03 0.07 0.27 0.05
299 30.4 0.03 0.12 0.36 0.09
299 5 0.02 0.07 0.26 0.15
298 5.4 0.04 0.08 0.44 0.08
298 9.9 0.03 0.13 0.38 0.05
298 19.5 0.05 0.08 0.31 0.15
298 30.2 0.03 0.13 0.28 0.11
298 34.8 0.03 0.08 0.27 0.07
298 44.7 0.04 0.07 0.19 0.05
298 54.1 0.02 0.06 0.1 0.01
60 5.2 0.11 0.06 0.11 0.09
60 15.3 0.1 0.09 0.18 0.04
60 30.7 0.08 0.06 0.14 0.08
60 39.9 0.08 0.06 0.15 0.06
