"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-5375 NA NA NA NA NA NA NA NA NA NA NA NA
-5125 NA NA NA NA NA NA NA NA NA NA NA NA
-4875 NA NA NA NA NA NA NA NA NA NA NA NA
-4625 NA NA NA NA NA NA NA NA NA NA NA NA
-4375 NA NA NA NA NA NA NA NA NA NA NA NA
-4125 NA NA NA NA NA NA NA NA NA NA NA NA
-3875 NA NA NA NA NA NA NA NA NA NA NA NA
-3625 NA NA NA NA NA NA NA NA NA NA NA NA
-3375 0.000251588033279404 0.000455784524092451 0.000547427189303562 0.000694501708494499 0.000843329005874693 0.00108988847932778 0.00128173911070917 0.00139654978556791 0.00148541155795101 0.00163393112597987 0.00187084438221063 0.00220500463910867
-3125 0.000195555126992986 0.000349615729646757 0.000428578285209369 0.000538538981345482 0.000650396039418411 0.000830191951536108 0.00097512192587601 0.0010787776336656 0.00115547499444801 0.0012746235152008 0.0014537450770149 0.00171399109240156
-2875 0.000156799258547835 0.000276115970336832 0.000354381700162776 0.000442122298409231 0.000534145430719946 0.000666680782160256 0.000781740796810482 0.000888784365088213 0.000968765802099369 0.00107799320539925 0.00122190167894587 0.00142964483529795
-2625 0.000146124075399712 0.000257383588177618 0.000334308257151861 0.000416687296819873 0.000503012131957803 0.000624771513685118 0.000732405591406859 0.000836778999655508 0.000913331867195666 0.00101296817592811 0.00114436259900685 0.00133545079734176
-2375 0.000138470699312165 0.000244123897573445 0.000319882252370007 0.000396685587475076 0.000473726511700079 0.000584466914006043 0.000683274032780901 0.000781916074629407 0.000848313909955323 0.000931981339817867 0.0010463119178894 0.00121950374887092
-2125.01 0.000131274675368331 0.00023093603522284 0.000301343003229704 0.000368618661013898 0.000431397827924229 0.000528557640791405 0.000614493364992086 0.000701891563949175 0.000751329673221335 0.000814334714959841 0.00090715892292792 0.00105967683339259
-1875.11 0.000126659724628553 0.000224039555178024 0.00029162996361265 0.000357005264959298 0.000417978455516277 0.000512336690007942 0.000594007626204984 0.000676066552841803 0.000723004170140484 0.000781696784542874 0.000870269825099967 0.00101705195265822
-1625.7 0.00012619566405192 0.000225608229811769 0.000300659936328884 0.000375772673578467 0.000448156053607818 0.000546344206668437 0.000630381939117797 0.000718002338544466 0.000775989476096584 0.000843108155095251 0.000935229563765461 0.00108104199534864
-1378.57 0.000117946518003009 0.000211860817216802 0.000282908833469264 0.000352675910107791 0.000419262141804211 0.000509552519361023 0.000586610585742164 0.000668929926177952 0.000721587708540028 0.000780473586928565 0.000861948028614279 0.000993247311271261
-1139.15 0.000107864878373221 0.00019389368389966 0.000259087915765122 0.000321162027830724 0.000379986082407413 0.000459681574284332 0.000527572952705668 0.000602369156695204 0.00064842573920032 0.000697975396178663 0.000766806522733532 0.000880357692949474
-918.37 9.65151484706439e-05 0.00017327256500721 0.000231647205509944 0.000285463826003252 0.000336172619427089 0.000404319463996217 0.00046187719271984 0.000527682459505741 0.000567130620765965 0.000608012360316934 0.000664031067572068 0.00075863456731895
-729.35 8.47572155180387e-05 0.00015231549332384 0.000204116939130472 0.000250545221206266 0.000293970508209895 0.000351635615515988 0.00039956562613952 0.000456685393146472 0.000490385260491166 0.000524080398463411 0.000568841973290546 0.000646203738142503
-579.31 7.39710812922567e-05 0.000133662215375807 0.000179811144334963 0.000220187877857825 0.000257700936344918 0.000307081205392024 0.00034779817724484 0.000398209493141621 0.000427617693276261 0.000455919456726406 0.000492023464175873 0.000555753700609785
-465.91 6.49210924166255e-05 0.000118319996545324 0.000159625029482413 0.00019504993542796 0.000227864886255702 0.000270958200417226 0.000306888894556323 0.000352519400621532 0.000379032462660689 0.000403422001909348 0.00043327526509529 0.000486783803353319
-381.39 5.75977464905009e-05 0.000105827330116881 0.00014340752386488 0.000175471708644181 0.000204729583856533 0.000242948726736358 0.000275734315437148 0.000317631742291269 0.000341992816174752 0.000363547638698947 0.000388885742722778 0.000434665180364391
-317.65 5.14943603775464e-05 9.52370792219881e-05 0.000128902454889612 0.000157318716446753 0.00018365206051385 0.000217999724554829 0.000248521482717479 0.000287556042167125 0.000310291110508842 0.000329825004882878 0.000351795295500779 0.000391552706787479
-268.46 4.6279514208436e-05 8.60311229189392e-05 0.000116582687041955 0.000142067448905436 0.00016594645967416 0.000197100065634004 0.000225773688725894 0.000262901154201245 0.000284459674730897 0.00030190723555279 0.000321222536513233 0.000356134658431984
-229.48 4.17304290749598e-05 7.79896945459768e-05 0.00010575118176348 0.000128921115901903 0.000150744066559128 0.000179066410055384 0.000206447422897327 0.000240689108977676 0.000258691039562109 0.000271452350716572 0.000287900003968389 0.000318798041917034
-197.79 3.76968782802578e-05 7.07493891241029e-05 9.61963687586831e-05 0.00011733761675714 0.000137208726300742 0.000162968739459757 0.00018799671488523 0.000219431554796756 0.000232629095080483 0.000240653608670982 0.00025399147580174 0.000281497720607149
-171.4 3.41659215337131e-05 6.40735215711175e-05 8.7314019765472e-05 0.000106481689726934 0.000123943871585652 0.000147219301652513 0.000170426257682266 0.000199250896912417 0.000208124476557714 0.000212241200642893 0.000222733064219938 0.000247072990532615
-148.96 3.11627190967556e-05 5.84375029575313e-05 7.9576444477425e-05 9.68327731243335e-05 0.000112233205072698 0.000132866631247452 0.000154386367285042 0.000180523124072351 0.000185308691925457 0.000185509942127737 0.000193139956024879 0.000214570832611116
-129.49 2.83912650047569e-05 5.33990696567344e-05 7.2639611971681e-05 8.81171490618726e-05 0.000101270768936956 0.000118955629659467 0.000138720386530622 0.000162022048243671 0.000163358991926543 0.000159835704721445 0.000164831267170484 0.000183330896902589
-112.32 2.58590898738476e-05 4.89493231725646e-05 6.63847677060403e-05 7.99361396275344e-05 9.05140486793243e-05 0.000105034213447652 0.000122819149510178 0.000143123509587895 0.000141285848940242 0.000133857752871336 0.000136214231133636 0.000151666862620914
-96.92 2.41257239395054e-05 4.57467558589997e-05 6.12471740168985e-05 7.22361346561229e-05 7.98488085820281e-05 9.09765417418384e-05 0.000106624274394562 0.000123821203942498 0.000119047154839791 0.000107229814602761 0.000106706979806859 0.000118948130932495
-82.92 2.27486725634662e-05 4.29376632382628e-05 5.573378984991e-05 6.31475995760411e-05 6.72945138830983e-05 7.49165537854424e-05 8.83315024111653e-05 0.000102390336905955 9.48310548665177e-05 7.79056676947221e-05 7.40660784686042e-05 8.28924771667516e-05
-70.02 2.10555317607941e-05 3.93180780520197e-05 4.87255110783735e-05 5.17902897172462e-05 5.19950864230623e-05 5.64091034078729e-05 6.75068996400796e-05 7.8523252440732e-05 6.84339830598901e-05 4.70093001325722e-05 3.92359298615474e-05 4.45980027592441e-05
-57.98 1.87299119716045e-05 3.44667059835047e-05 4.05099458475888e-05 3.94536587009497e-05 3.58259371751046e-05 3.77325425233721e-05 4.64884926714149e-05 5.47056627056008e-05 4.30999937179877e-05 2.02776884634659e-05 8.42858776195499e-06 1.05830959000741e-05
-46.61 1.58017046487657e-05 2.86017420876306e-05 3.19575210596668e-05 2.78757065643731e-05 2.20231054299802e-05 2.2475049604509e-05 2.90533070028687e-05 3.48120678381747e-05 2.2921539652998e-05 1.76593437117845e-06 -1.16789493631586e-05 -1.20069769593556e-05
-35.76 1.23927602544427e-05 2.20947113120928e-05 2.35979442777534e-05 1.85725190249286e-05 1.22581901678132e-05 1.19927471757819e-05 1.65891792391903e-05 2.02777777928986e-05 9.49104693859226e-06 -7.95332883285482e-06 -2.03985833024944e-05 -2.23941513297632e-05
-25.28 8.56895348988473e-06 1.50743153426447e-05 1.54752829644167e-05 1.1041859636407e-05 5.70526896126466e-06 5.22194699215106e-06 7.99948969643083e-06 1.0032738089194e-05 1.73591723751088e-06 -1.06758132574214e-05 -2.00466573119229e-05 -2.27498247227231e-05
-15.07 4.40675330537488e-06 7.71668442212103e-06 7.65496187682402e-06 4.97600748872173e-06 1.80464061827479e-06 1.44366225640624e-06 2.67966782985241e-06 3.4855331136896e-06 -1.14463028921818e-06 -7.64597172064896e-06 -1.26364037100757e-05 -1.46339180560062e-05
-5.01 -4.22919299580826e-09 -6.22970408592494e-09 -5.53465391295305e-08 -5.76301066868012e-08 -7.00493394401036e-08 -5.63668167696818e-08 -3.74751569776066e-08 -5.93994717856816e-08 -9.5882100259459e-08 -1.19727347813736e-07 -7.8779860634981e-08 -1.96788592088382e-08
