Cruise,Station,Date,Longitude,Latitude,Bottm depth [m],Pressure,Depth,Temp,Salinity-CTD,Theta,Sigma_Theta,Salinity-Bottle,DO [~$m~#mol/kg],Silicate [~$m~#mol/kg],1Silicate [~$m~#mol/kg],Nitrate,Nitrate1,Nitrite,Nitrite1,Phosphate [~$m~#mol/kg],1Phosphate [~$m~#mol/kg],NH4,NH41,TA [~$m~#mol/kg],1TA [~$m~#mol/kg],pHt (25C),1pHt (25C),DIC [~$m~#mol/kg],1DIC [~$m~#mol/kg],CHLWEL,CHLWEL1,CHLHOL [~$m~#g/l],1CHLHOL [~$m~#g/l],SIZECHL [~$m~#g/l],1SIZECHL [~$m~#g/l],2SIZECHL [~$m~#g/l],TDIN [mmol/m3]
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,0,0.0,11.6,-9,11.6,24.8084,32.6109,290.87,26.88,0.14,14,0.05,0.18,0.01,1.383,0.005,-9,-9,2214,2212.7,7.821,7.821,2043.2,2041.5,0.48,0.5,0.48,0.5,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,10.4,10.3,9.5473,32.6246,9.5462,25.1719,32.6283,308.61,26.98,0.14,13.97,0.05,0.15,0.01,1.346,0.005,-9,-9,2214.5,-9,7.818,-9,2047,-9,0.41,-9,0.4,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,20.9,20.7,8.7657,32.6739,8.7636,25.3336,32.6555,312.86,26.54,0.13,13.98,0.05,0.16,0.01,1.345,0.005,-9,-9,2215.9,-9,7.818,-9,2045.8,-9,0.44,-9,0.44,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,30.3,30.1,6.8438,32.8044,6.8411,25.7107,32.7868,325.19,28.15,0.14,15.57,0.05,0.18,0.01,1.452,0.005,-9,-9,2223,-9,7.793,-9,2064.3,-9,0.62,-9,0.6,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,49.8,49.4,3.2099,32.9101,3.207,26.1987,32.9111,332.77,35.35,0.15,20.74,0.06,0.26,0.01,1.792,0.006,-9,-9,2226.5,-9,7.68,-9,2109.3,-9,0.86,0.87,0.81,0.81,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,75,74.4,2.393,32.9771,2.389,26.3213,32.9788,328.27,36.74,0.15,22.29,0.06,0.79,0.01,1.868,0.006,-9,-9,2228.6,-9,7.648,-9,2129.2,-9,0.19,-9,0.17,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,100.4,99.6,1.4407,33.0043,1.4362,26.4128,33.0093,330.87,41.82,0.15,24.76,0.06,0.61,0.01,2.009,0.006,-9,-9,2232.7,-9,7.615,-9,2143.9,-9,0.06,-9,0.05,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,125.3,124.2,1.2159,33.0798,1.2104,26.4882,33.0758,314.93,45.07,0.16,26.65,0.06,0.03,0.01,2.093,0.007,-9,-9,2236.9,-9,7.587,7.587,2153.3,-9,0.03,-9,0.02,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,150.7,150.0,2.4437,33.4217,2.4355,26.6731,33.4209,214.79,59.57,0.17,31.59,0.07,0.02,0.01,2.384,0.007,-9,-9,2258.2,-9,7.474,-9,2211.5,-9,0.02,-9,0.01,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,175.5,174.0,2.7229,33.5909,2.7128,26.7853,33.5895,144.27,75.23,0.19,37.13,0.08,0.01,0.01,2.742,0.008,-9,-9,2273.9,-9,7.358,-9,2261.6,-9,0.01,-9,0.01,-9,-9,-9,-9,
