Cruise,Stn.,Cast,Bottle,Latitude,Longitude,Date,Inc. type,Inc. depth,"Light
Intensity",PP (dark),PP-1,PP-2,"PP (dark)
_FLAG","PP-1
_FLAG","PP-2
_FLAG"
MR10-01,K2,2,Bucket,47.003N,159.968E,01/24/2010,SIS,0,100,-,3.0,-,9,2,9
MR10-01,K2,2,7,47.003N,159.968E,01/24/2010,SIS,7,57,-,2.6,-,9,2,9
MR10-01,K2,2,6,47.003N,159.968E,01/24/2010,SIS,15,33,-,2.7,-,9,2,9
MR10-01,K2,2,5,47.003N,159.968E,01/24/2010,SIS,32,12,-,1.9,-,9,2,9
MR10-01,K2,2,4,47.003N,159.968E,01/24/2010,SIS,39,8,-,1.1,-,9,2,9
MR10-01,K2,2,3,47.003N,159.968E,01/24/2010,SIS,48,4.8,-,0.6,-,9,2,9
MR10-01,K2,2,2,47.003N,159.968E,01/24/2010,SIS,56,3,-,0.3,-,9,2,9
MR10-01,K2,2,1,47.003N,159.968E,01/24/2010,SIS,60,2.4,-,0.2,-,9,2,9
MR10-01,S1,4,Bucket,29.998N,145E,01/31/2010,SIS,0,100,-,16.2,-,9,2,9
MR10-01,S1,4,7,29.998N,145E,01/31/2010,SIS,5,57,-,12.2,-,9,2,9
MR10-01,S1,4,6,29.998N,145E,01/31/2010,SIS,11,33,-,11.6,-,9,2,9
MR10-01,S1,4,5,29.998N,145E,01/31/2010,SIS,26,12,-,10.3,-,9,2,9
MR10-01,S1,4,4,29.998N,145E,01/31/2010,SIS,33,8,-,7.3,-,9,2,9
MR10-01,S1,4,3,29.998N,145E,01/31/2010,SIS,41,4.8,-,3.4,-,9,2,9
MR10-01,S1,4,2,29.998N,145E,01/31/2010,SIS,50,3,-,1.5,-,9,2,9
MR10-01,S1,4,1,29.998N,145E,01/31/2010,SIS,59,2.4,-,0.7,-,9,2,9
MR10-01,S1,8,Bucket,30.008N,145.434E,02/02/2010,SIS,0,100,-,6.7,-,9,2,9
MR10-01,S1,8,7,30.008N,145.434E,02/02/2010,SIS,5,57,-,7.6,-,9,2,9
MR10-01,S1,8,6,30.008N,145.434E,02/02/2010,SIS,11,33,-,7.1,-,9,2,9
MR10-01,S1,8,5,30.008N,145.434E,02/02/2010,SIS,26,12,-,6.4,-,9,2,9
MR10-01,S1,8,4,30.008N,145.434E,02/02/2010,SIS,33,8,-,5.7,-,9,2,9
MR10-01,S1,8,3,30.008N,145.434E,02/02/2010,SIS,41,4.8,-,3.2,-,9,2,9
MR10-01,S1,8,2,30.008N,145.434E,02/02/2010,SIS,50,3,-,1.7,-,9,2,9
MR10-01,S1,8,1,30.008N,145.434E,02/02/2010,SIS,59,2.4,-,0.6,-,9,2,9
MR10-01,S1,9,Bucket,30.15N,145.102E,02/08/2010,SIS,0,100,-,8.6,-,9,2,9
MR10-01,S1,9,7,30.15N,145.102E,02/08/2010,SIS,6,57,-,12.7,-,9,2,9
MR10-01,S1,9,6,30.15N,145.102E,02/08/2010,SIS,13,33,-,11.4,-,9,2,9
MR10-01,S1,9,5,30.15N,145.102E,02/08/2010,SIS,28,12,-,9.6,-,9,2,9
MR10-01,S1,9,4,30.15N,145.102E,02/08/2010,SIS,33,8,-,7.2,-,9,2,9
MR10-01,S1,9,3,30.15N,145.102E,02/08/2010,SIS,41,4.8,-,3.1,-,9,2,9
MR10-01,S1,9,2,30.15N,145.102E,02/08/2010,SIS,50,3,-,1.6,-,9,2,9
MR10-01,S1,9,1,30.15N,145.102E,02/08/2010,SIS,54,2.4,-,0.8,-,9,2,9
MR10-01,S1,15,Bucket,30.378N,145.101E,02/10/2010,SIS,0,100,-,13.9,-,9,2,9
MR10-01,S1,15,7,30.378N,145.101E,02/10/2010,SIS,5,57,-,12.7,-,9,2,9
MR10-01,S1,15,6,30.378N,145.101E,02/10/2010,SIS,13,33,-,10.9,-,9,2,9
MR10-01,S1,15,5,30.378N,145.101E,02/10/2010,SIS,30,12,-,8.3,-,9,2,9
MR10-01,S1,15,4,30.378N,145.101E,02/10/2010,SIS,39,8,-,5.6,-,9,2,9
MR10-01,S1,15,3,30.378N,145.101E,02/10/2010,SIS,48,4.8,-,2.1,-,9,2,9
MR10-01,S1,15,2,30.378N,145.101E,02/10/2010,SIS,57,3,-,1.3,-,9,2,9
MR10-01,S1,15,1,30.378N,145.101E,02/10/2010,SIS,61,2.4,-,0.7,-,9,2,9
MR10-01,K2,8,Bucket,46.876N,160.023E,02/15/2010,SIS,0,100,-,4.7,-,9,2,9
MR10-01,K2,8,7,46.876N,160.023E,02/15/2010,SIS,5,57,-,3.3,-,9,2,9
MR10-01,K2,8,6,46.876N,160.023E,02/15/2010,SIS,10,33,-,2.3,-,9,2,9
MR10-01,K2,8,5,46.876N,160.023E,02/15/2010,SIS,23,12,-,1.7,-,9,2,9
MR10-01,K2,8,4,46.876N,160.023E,02/15/2010,SIS,28,8,-,1.1,-,9,2,9
MR10-01,K2,8,3,46.876N,160.023E,02/15/2010,SIS,35,4.8,-,0.4,-,9,2,9
MR10-01,K2,8,2,46.876N,160.023E,02/15/2010,SIS,42,3,-,0.2,-,9,2,9
MR10-01,K2,8,1,46.876N,160.023E,02/15/2010,SIS,44,2.4,-,0.1,-,9,2,9
MR10-06,K2,3,Bucket,46.887N,160.001E,10/25/2010,SIS,0,100,0.068,15.1,14.475,2,2,2
MR10-06,K2,3,7,46.887N,160.001E,10/25/2010,SIS,3,59.1,0.035,14.6,13.163,2,2,2
MR10-06,K2,3,6,46.887N,160.001E,10/25/2010,SIS,7,38.2,0.039,13.6,13.28,2,2,2
MR10-06,K2,3,5,46.887N,160.001E,10/25/2010,SIS,15,17,0.04,9.3,9.969,2,2,2
MR10-06,K2,3,4,46.887N,160.001E,10/25/2010,SIS,18,13.6,0.063,8.0,7.966,2,2,2
MR10-06,K2,3,3,46.887N,160.001E,10/25/2010,SIS,25,6.8,0.054,5.2,4.91,2,2,2
MR10-06,K2,3,2,46.887N,160.001E,10/25/2010,SIS,31,3.8,0.031,0.9,0.998,2,2,2
MR10-06,K2,3,1,46.887N,160.001E,10/25/2010,SIS,38,2.2,0.026,0.5,0.64,2,2,2
MR10-06,K2,9,Bucket,46.863N,159.99E,10/28/2010,SIS,0,100,0.057,12.7,13.096,2,2,2
MR10-06,K2,9,7,46.863N,159.99E,10/28/2010,SIS,3,59.1,0.039,12.1,12.509,2,2,2
MR10-06,K2,9,6,46.863N,159.99E,10/28/2010,SIS,5,38.2,0.045,11.5,11.041,2,2,2
MR10-06,K2,9,5,46.863N,159.99E,10/28/2010,SIS,11,17,0.042,8.6,7.93,2,2,2
MR10-06,K2,9,4,46.863N,159.99E,10/28/2010,SIS,13,13.6,0.07,6.8,6.063,2,2,2
MR10-06,K2,9,3,46.863N,159.99E,10/28/2010,SIS,19,6.8,0.059,4.4,2.681,2,2,3
MR10-06,K2,9,2,46.863N,159.99E,10/28/2010,SIS,25,3.8,0.047,1.2,0.959,2,2,2
MR10-06,K2,9,1,46.863N,159.99E,10/28/2010,SIS,31,2.2,0.025,0.7,0.571,2,2,2
MR10-06,S1,4,Bucket,30.003N,144.997E,11/07/2010,IS,0,100,-,1.9,1.794,9,2,2
MR10-06,S1,4,7,30.003N,144.997E,11/07/2010,IS,10,50,-,1.8,1.795,9,2,2
MR10-06,S1,4,6,30.003N,144.997E,11/07/2010,IS,30,25,-,1.4,1.305,9,2,2
MR10-06,S1,4,5,30.003N,144.997E,11/07/2010,IS,50,10,-,0.5,0.49,9,2,2
MR10-06,S1,4,4,30.003N,144.997E,11/07/2010,IS,65,5,-,0.4,0.289,9,2,2
MR10-06,S1,4,3,30.003N,144.997E,11/07/2010,IS,75,2.5,-,0.4,0.31,9,2,2
MR10-06,S1,4,2,30.003N,144.997E,11/07/2010,IS,90,1,-,0.2,0.184,9,2,2
MR10-06,S1,4,1,30.003N,144.997E,11/07/2010,IS,105,0.5,-,0.1,0.086,9,2,2
MR10-06,S1,4,Bucket,30.003N,144.997E,11/07/2010,SIS,0,100,0.197,1.9,1.69,2,2,2
MR10-06,S1,4,7,30.003N,144.997E,11/07/2010,SIS,6,59.1,0.03,1.9,1.944,2,2,2
MR10-06,S1,4,6,30.003N,144.997E,11/07/2010,SIS,16,38.2,0.032,1.7,1.533,2,2,2
MR10-06,S1,4,5,30.003N,144.997E,11/07/2010,SIS,38,17,0.028,0.9,1.166,2,3,2
MR10-06,S1,4,4,30.003N,144.997E,11/07/2010,SIS,44,13.6,0.016,0.7,0.587,2,2,2
MR10-06,S1,4,3,30.003N,144.997E,11/07/2010,SIS,58,6.8,0.029,0.6,0.785,2,3,2
MR10-06,S1,4,2,30.003N,144.997E,11/07/2010,SIS,69,3.8,0.009,0.3,0.356,2,2,2
MR10-06,S1,4,1,30.003N,144.997E,11/07/2010,SIS,79,2.2,0.024,0.3,0.192,2,2,2
MR10-06,S1,10,Bucket,30.001N,145.002E,11/09/2010,SIS,0,100,0.101,0.9,1.02,2,2,2
MR10-06,S1,10,7,30.001N,145.002E,11/09/2010,SIS,8,59.1,0.026,2.1,2.117,2,2,2
MR10-06,S1,10,6,30.001N,145.002E,11/09/2010,SIS,20,38.2,0.045,2.1,1.944,2,2,2
MR10-06,S1,10,5,30.001N,145.002E,11/09/2010,SIS,45,17,0.044,1.6,1.514,2,2,2
MR10-06,S1,10,4,30.001N,145.002E,11/09/2010,SIS,50,13.6,0.034,1.5,1.744,2,2,2
MR10-06,S1,10,3,30.001N,145.002E,11/09/2010,SIS,62,6.8,0.023,1.4,1.357,2,2,2
MR10-06,S1,10,2,30.001N,145.002E,11/09/2010,SIS,72,3.8,0.019,0.7,0.651,2,2,2
MR10-06,S1,10,1,30.001N,145.002E,11/09/2010,SIS,82,2.2,0.019,0.4,0.387,2,2,2
MR11-02,S1,3,Bucket,30.001N,144.9E,02/14/2011,IS,0,100,-,28.4,27.543,9,2,2
MR11-02,S1,3,7,30.001N,144.9E,02/14/2011,IS,5,50,-,24.2,28.673,9,2,2
MR11-02,S1,3,6,30.001N,144.9E,02/14/2011,IS,15,25,-,22.1,22.028,9,3,3
MR11-02,S1,3,5,30.001N,144.9E,02/14/2011,IS,25,10,-,14.7,13.83,9,3,3
MR11-02,S1,3,4,30.001N,144.9E,02/14/2011,IS,35,5,-,6.9,6.393,9,3,3
MR11-02,S1,3,3,30.001N,144.9E,02/14/2011,IS,45,2.5,-,3.2,2.937,9,3,3
MR11-02,S1,3,2,30.001N,144.9E,02/14/2011,IS,60,1,-,0.5,0.447,9,2,2
MR11-02,S1,3,1,30.001N,144.9E,02/14/2011,IS,75,0.5,-,0.2,0.197,9,2,2
MR11-02,S1,3,Bucket,30.001N,144.9E,02/14/2011,SIS,0,100,0.114,32.9,36.83,2,2,2
MR11-02,S1,3,7,30.001N,144.9E,02/14/2011,SIS,4,59.1,0.072,30.4,31.024,2,2,2
MR11-02,S1,3,6,30.001N,144.9E,02/14/2011,SIS,9,38.2,0.063,24.2,26.632,2,2,2
MR11-02,S1,3,5,30.001N,144.9E,02/14/2011,SIS,19,17,0.064,22.8,22.168,2,2,2
MR11-02,S1,3,4,30.001N,144.9E,02/14/2011,SIS,22,13.6,0.062,20.7,21.759,2,2,2
MR11-02,S1,3,3,30.001N,144.9E,02/14/2011,SIS,31,6.8,0.061,13.1,11.548,2,2,2
MR11-02,S1,3,2,30.001N,144.9E,02/14/2011,SIS,40,3.8,0.036,2.8,3.365,2,2,2
MR11-02,S1,3,1,30.001N,144.9E,02/14/2011,SIS,49,2.2,0.029,0.8,1.709,2,2,2
MR11-02,S1,7,Bucket,30.001N,144.998E,02/17/2011,SIS,0,100,0.047,28.2,26.357,2,2,2
MR11-02,S1,7,14,30.001N,144.998E,02/17/2011,SIS,5,59.1,0.086,25.7,24.175,2,2,2
MR11-02,S1,7,13,30.001N,144.998E,02/17/2011,SIS,10,38.2,0.081,24.1,23.396,2,2,2
MR11-02,S1,7,12,30.001N,144.998E,02/17/2011,SIS,23,17,0.065,19.0,22.763,2,2,2
MR11-02,S1,7,11,30.001N,144.998E,02/17/2011,SIS,27,13.6,0.067,17.8,19.54,2,2,2
