Cruise,Station,Date,Timing,Longitude,Latitude,Bottm depth [m],Pressure,Depth,Temp,Salinity-CTD,Theta,Sigma_Theta,Salinity-Bottle,DO,Silicate,Silicate1,Nitrate,Nitrate1,Nitrite,Nitrite1,PO4,PO41,NH4,NH41,TA,TA1,pHt (25C),1pHt (25C),DIC [~$m~#mol/kg],1DIC [~$m~#mol/kg],CHLWEL,CHLWEL1,CHLHOL,CHLHOL,SIZECHL,SIZECHL1,SIZECHL2,TDIN
MR12-02,S01_1,06/26/2012,5:31,144.9938,30.007,5953,0,0,23.6,-9,23.6,23.3121,34.4076,219.27,1.9,1.96,0.12,0.2,0.02,0.03,0.054,0.059,-9,-9,2258,-9,8.034,-9,1978.3,-9,0.1,-9,0.09,-9,-9,-9,-9,
MR12-02,S01_1,06/26/2012,5:31,144.9938,30.007,5953,10,10,22.4469,34.4024,22.4449,23.6403,34.4021,223.96,1.89,1.87,0.01,0,0.01,0.01,0.047,0.05,-9,-9,2256.7,-9,8.033,-9,1978.6,-9,0.11,-9,0.1,-9,-9,-9,-9,
MR12-02,S01_1,06/26/2012,5:31,144.9938,30.007,5953,19.8,19.7,20.7611,34.5131,20.7574,24.1902,34.5286,232.55,1.84,1.83,0.02,0,0.01,0.02,0.048,0.047,-9,-9,2266.4,-9,8.036,-9,1983.7,-9,0.1,-9,0.1,-9,-9,-9,-9,
MR12-02,S01_1,06/26/2012,5:31,144.9938,30.007,5953,29.9,29.6,20.4377,34.5873,20.4321,24.3338,34.5792,233.73,1.85,1.86,0.02,0.01,0.01,0.02,0.048,0.051,-9,-9,2263.7,-9,8.036,-9,1986.4,-9,0.1,-9,0.1,-9,-9,-9,-9,
MR12-02,S01_1,06/26/2012,5:31,144.9938,30.007,5953,49.7,49.4,19.1702,34.6549,19.1613,24.7174,34.658,236.4,2.01,2.03,0.01,0,0.01,0.02,0.06,0.064,-9,-9,2274.4,-9,8.028,-9,1995.4,-9,0.14,-9,0.12,-9,-9,-9,-9,
MR12-02,S01_1,06/26/2012,5:31,144.9938,30.007,5953,75.6,75.1,18.0224,34.7567,18.0095,25.0844,34.7559,232.23,2.49,2.52,0.54,0.53,0.09,0.09,0.111,0.114,-9,-9,2281.1,-9,8.009,-9,2011.9,-9,0.76,-9,0.55,-9,-9,-9,-9,
MR12-02,S01_1,06/26/2012,5:31,144.9938,30.007,5953,100,99.3,17.5501,34.7399,17.5333,25.1878,34.738,219.45,2.92,2.94,3,2.99,0.03,0.04,0.24,0.247,-9,-9,2278.7,-9,7.983,-9,2024,-9,0.15,-9,0.12,-9,-9,-9,-9,
MR12-02,S01_1,06/26/2012,5:31,144.9938,30.007,5953,124.9,124,17.3652,34.7257,17.3444,25.2225,34.7242,218.81,3.29,3.33,3.44,3.43,0.03,0.03,0.266,0.269,-9,-9,2278.6,-9,7.978,-9,2025.4,-9,0.02,-9,0.02,-9,-9,-9,-9,
MR12-02,S01_1,06/26/2012,5:31,144.9938,30.007,5953,149,147.9,17.2156,34.7147,17.1909,25.2508,34.7147,216.38,3.59,3.65,3.86,3.9,0.03,0.03,0.29,0.296,-9,-9,2276.8,-9,7.971,-9,2029.1,-9,0.01,-9,0,-9,-9,-9,-9,
MR12-02,S01_1,06/26/2012,5:31,144.9938,30.007,5953,175.5,174.2,17.1494,34.7137,17.1203,25.2669,34.7129,218.41,3.64,3.67,3.8,3.79,0.03,0.03,0.291,0.294,-9,-9,2277.2,-9,7.973,-9,2027.7,-9,0,-9,0,-9,-9,-9,-9,
MR12-02,S01_1,06/26/2012,5:31,144.9938,30.007,5953,204,200,17.0556,34.7086,17.0219,25.2864,34.7081,220.85,3.87,3.91,3.93,3.94,0.03,0.03,0.296,0.306,-9,-9,2276.9,-9,7.971,-9,2029,-9,0,-9,0,-9,-9,-9,-9,
MR12-02,S01_1,06/26/2012,5:31,144.9938,30.007,5953,252.3,250.5,16.7665,34.6873,16.7253,25.34,34.686,211.75,4.8,4.87,5,5.02,0.02,0.03,0.372,0.375,-9,-9,2276.1,-9,7.951,-9,2038.5,-9,-9,-9,-9,-9,-9,-9,-9,
