"DOY" "Depth" "SIZE10" "SIZE3" "SIZE1" "SIZE_L1"
31 4.8 0.04 0.05 0.17 0.1
31 15.1 0.04 0.05 0.17 0.12
31 24.8 0.03 0.06 0.2 0.12
31 34.6 0.04 0.05 0.14 0.14
31 45 0.04 0.06 0.21 0.11
31 64.3 0.03 0.04 0.14 0.06
31 80.1 0.03 0.04 0.16 0.08
31 100.1 0.03 0.03 0.1 0.04
31 125 0.02 0.02 0.05 0.02
33 5 0.02 0.03 0.12 0.14
33 14.7 0.02 0.05 0.18 0.12
33 30.4 0.02 0.04 0.14 0.13
33 50.5 0.02 0.05 0.14 0.12
33 60.4 0.02 0.05 0.13 0.11
33 70.3 0.02 0.04 0.15 0.1
33 85.4 0.02 0.04 0.12 0.1
33 99 0.02 0.04 0.12 0.04
33 124 0.02 0.02 0.07 0.03
39 5.5 0.03 0.06 0.2 0.18
39 15.6 0.05 0.06 0.18 0.19
39 30.9 0.05 0.05 0.18 0.19
39 50.4 0.04 0.06 0.16 0.2
39 59.6 0.04 0.05 0.19 0.15
39 70.4 0.04 0.06 0.18 0.17
39 84.4 0.03 0.04 0.14 0.11
39 100.4 0.01 0.01 0.02 0.01
39 125.9 0 0 0.01 0.01
40 5.1 0.02 0.04 0.15 0.11
41 5.7 0.05 0.06 0.2 0.19
41 20.2 0.04 0.09 0.21 0.14
41 34.8 0.04 0.08 0.2 0.16
41 50.1 0.03 0.06 0.2 0.11
41 60 0.03 0.07 0.2 0.12
41 80 0.01 0.02 0.07 0.06
41 94.9 0.01 0.01 0.02 0.01
41 100.9 0 0.01 0.02 0.01
41 125.3 0 0 0.01 0
41 5.9 0.04 0.08 0.23 0.15
313 70 0 0.01 0.06 0.14
313 125.4 0.01 0.01 0.09 0.07
313 149.8 0 0 0.03 0.01
313 9.8 0 0.01 0.02 0.05
313 34.8 0 0.01 0.02 0.05
313 54.2 0.01 0.02 0.05 0.09
313 65.3 0.01 0.01 0.05 0.13
313 79 0.01 0.02 0.1 0.1
313 94.8 0.01 0.01 0.1 0.13
313 109.8 0.01 0.01 0.1 0.15
311 89.8 0.01 0.01 0.08 0.06
311 49.4 0.02 0.02 0.08 0.14
311 10 0.01 0.01 0.03 0.07
311 90.9 0.01 0.01 0.1 0.22
311 125.3 0.01 0 0.06 0.06
311 150.4 0 0 0 0
311 9.6 0.01 0.01 0.03 0.04
311 29.8 0 0.01 0.02 0.04
311 50.4 0 0.01 0.04 0.06
311 65.1 0.01 0.01 0.07 0.12
311 75.8 0.01 0.02 0.1 0.1
311 91.1 0.01 0.02 0.14 0.17
311 105.7 0.01 0.01 0.1 0.11
48 100.9 0.42 0.13 0.14 0.07
48 125.4 0.21 0.04 0.09 0.05
48 150.3 0 0 0.02 0
48 5.2 0.33 0.09 0.18 0.13
48 15.5 0.36 0.08 0.15 0.09
48 30.4 0.4 0.06 0.19 0.1
48 40.2 0.39 0.08 0.18 0.09
48 54.7 0.49 0.09 0.19 0.11
48 69.7 0.63 0.06 0.18 0.09
48 84.5 0.47 0.12 0.21 0.1
45 75.2 0.02 0.02 0.06 0.04
45 35.4 0.26 0.07 0.13 0.14
45 5.2 0.29 0.08 0.11 0.15
45 99.4 0.14 0.05 0.09 0.08
45 124.7 0.03 0.02 0.06 0.04
45 150.2 0.01 0.02 0.04 0.02
45 5.2 0.29 0.12 0.17 0.13
45 15.2 0.47 0.07 0.2 0.15
45 25.1 0.4 0.08 0.18 0.14
45 33.8 0.38 0.07 0.18 0.14
45 45.3 0.32 0.09 0.14 0.11
45 60.2 0.17 0.08 0.11 0.08
45 75.2 0.16 0.05 0.15 0.08
120 19.5 0.02 0.03 0.09 0.08
120 40.2 0.05 0.05 0.14 0.19
120 74.6 0.03 0.01 0.07 0.01
120 100 0.03 0.01 0.05 0.02
120 124.5 0.01 0.01 0.02 0
120 4.7 0.02 0.02 0.07 0.08
120 9.5 0.02 0.03 0.08 0.08
120 24.5 0.02 0.03 0.08 0.09
120 29.6 0.03 0.06 0.1 0.12
120 34.5 0.02 0.03 0.1 0.11
120 44.9 0.07 0.09 0.34 0.21
120 54.6 0.07 0.04 0.16 0.07
118 54.8 0.07 0.04 0.11 0.04
118 29.9 0.07 0.05 0.2 0.23
118 5.1 0.05 0.04 0.1 0.19
118 20.2 0.07 0.09 0.22 0.19
118 69.1 0.09 0.12 0.29 0.15
118 84.8 0.07 0.05 0.19 0.09
118 100.9 0.03 0.03 0.19 0.03
118 125 0.02 0.01 0.06 0.01
118 5 0.05 0.05 0.17 0.19
118 9.7 0.06 0.05 0.19 0.16
118 25.3 0.06 0.05 0.26 0.16
118 29.9 0.07 0.06 0.18 0.18
118 35 0.08 0.07 0.19 0.14
118 39.8 0.06 0.07 0.22 0.15
118 55.1 0.05 0.06 0.24 0.14
208 70.1 0.13 0.07 0.24 0.28
208 45 0.02 0.03 0.06 0.04
208 6.1 0.01 0.01 0.03 0.04
208 15.3 0.01 0.01 0.01 0.02
208 36.5 0.01 0.02 0.03 0.03
208 80.7 0.06 0.05 0.15 0.2
208 100.8 0.05 0.03 0.14 0.15
208 130.4 0.01 0.02 0.06 0.05
208 150.3 0.01 0.01 0.03 0.01
208 5.9 0 0.01 0.01 0.03
208 20.3 0.01 0.01 0.02 0.03
208 44.6 0.01 0.02 0.03 0.05
208 55.9 0.01 0.02 0.04 0.07
208 65.4 0.02 0.01 0.06 0.09
208 70.5 0.05 0.03 0.13 0.17
208 85.4 0.06 0.04 0.22 0.21
205 19.6 0.01 0.01 0.02 0.02
205 41.4 0.02 0.01 0.02 0.04
205 85.5 0.04 0.06 0.21 0.28
205 105.6 0.05 0.02 0.1 0.14
205 124.9 0.04 0.02 0.07 0.07
