"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-1487.5 2.58520251512527 2.60109251737595 2.53444504737854 2.55614250898361 2.56179493665695 2.56397998332977 2.57554495334625 2.55617249011993 2.53597748279572 2.57604748010635 2.54609501361847 2.5521724820137
-1450 2.66319751739502 2.66566997766495 2.65635257959366 2.65222746133804 2.65305256843567 2.64542496204376 2.66095244884491 2.62039995193481 2.63762754201889 2.62725245952606 2.6308975815773 2.63799494504929
-1400 2.75599998235703 2.75859248638153 2.74772500991821 2.73269748687744 2.71219998598099 2.72173005342484 2.7262749671936 2.72192251682281 2.77604997158051 2.72325748205185 2.73425501585007 2.7416924238205
-1350 2.86409747600555 2.88550001382828 2.87810254096985 2.80308002233505 2.80772507190704 2.82500004768372 2.82122248411179 2.84184753894806 2.80893498659134 2.83420252799988 2.82047247886658 2.84892004728317
-1300 2.96872496604919 2.99553251266479 2.9763475060463 2.92799496650696 2.94457501173019 2.94167751073837 2.9300274848938 3.01021999120712 2.9130175113678 3.02750504016876 2.9240500330925 2.98657751083374
-1250 3.08859997987747 3.11589747667313 3.08891499042511 3.02615249156952 3.0591025352478 3.06107997894287 3.08450251817703 3.10850751399994 3.02439999580383 3.08743995428085 3.02988004684448 3.10532248020172
-1200 3.23342251777649 3.25822502374649 3.24054747819901 3.16398495435715 3.2020925283432 3.19542503356934 3.19024246931076 3.23264002799988 3.19219750165939 3.22067505121231 3.19863998889923 3.23172247409821
-1150 3.38520008325577 3.40024751424789 3.44109499454498 3.34557503461838 3.33763253688812 3.3299999833107 3.36574494838715 3.35459756851196 3.35793006420135 3.33534997701645 3.35258001089096 3.38133001327515
-1100 3.52514499425888 3.47480499744415 3.5934499502182 3.50815498828888 3.5076299905777 3.48832499980927 3.53405505418777 3.51352000236511 3.5084725022316 3.51595252752304 3.49769997596741 3.58280003070831
-1050 3.7257000207901 3.71139997243881 3.76084750890732 3.69895756244659 3.68500250577927 3.66954749822617 3.71667003631592 3.70841997861862 3.63802999258041 3.7533050775528 3.66135996580124 3.77865749597549
-1000 3.98600000143051 4.0508451461792 3.96967256069183 3.9079549908638 3.91823250055313 3.83510500192642 3.89124751091003 3.91992247104645 3.86914503574371 3.93177002668381 3.86635500192642 3.98806750774384
-950 4.23075258731842 4.26710498332977 4.24127995967865 4.14162755012512 4.11904764175415 4.10035002231598 4.10467493534088 4.1613450050354 4.14804255962372 4.13359749317169 4.07002997398376 4.15172743797302
-900 4.45812499523163 4.57357501983643 4.56955003738403 4.43086743354797 4.35742998123169 4.33833014965057 4.4174724817276 4.37842500209808 4.40000236034393 4.45267498493195 4.269700050354 4.45942497253418
-850 4.7582950592041 4.73949503898621 4.86179494857788 4.68229997158051 4.78762769699097 4.71617257595062 4.81344485282898 4.85567498207092 4.76904499530792 4.72204983234406 4.79997003078461 4.90939998626709
-800 5.40288007259369 5.32967007160187 5.37370252609253 5.14605009555817 4.96320497989655 5.13992249965668 5.26828002929688 5.16779506206512 4.91199743747711 5.17687499523163 5.17221999168396 5.45162236690521
-750 6.17471742630005 6.00670504570007 6.19482493400574 5.84825003147125 5.8677099943161 5.49160504341125 5.9918749332428 5.76835250854492 5.83448004722595 5.7443825006485 5.50335490703583 6.02355003356934
-700 7.05785763263702 7.05779755115509 7.1708699464798 6.62356996536255 6.23995244503021 6.47390007972717 6.77390503883362 6.79566752910614 6.27305257320404 6.72337758541107 6.56815266609192 6.99050009250641
-650 8.01832020282745 8.52247023582458 8.01062715053558 7.61314761638641 7.81837499141693 7.50014984607697 7.95339250564575 7.74982488155365 7.25587499141693 7.7900550365448 7.39914751052856 8.07864761352539
-600 9.55312490463257 9.43719530105591 9.71720933914185 9.014004945755 9.08278250694275 8.89545011520386 8.90207266807556 9.05410718917847 9.13692474365234 9.36777496337891 8.8245701789856 9.45194983482361
-550 11.009124994278 10.9823024272919 11.1453702449799 10.4718000888824 10.5055701732635 10.1242046356201 10.3158502578735 10.4490022659302 10.6138772964478 10.555727481842 10.2241570949554 10.7613728046417
-506.25 12.4141499996185 12.4466524124146 12.4407978057861 12.2143950462341 12.0410952568054 11.8721299171448 11.7040822505951 11.920027256012 11.9789474010468 12.1946225166321 11.6637024879456 12.2342977523804
-475 13.1081700325012 12.8690295219421 13.1219298839569 12.8509950637817 12.6629774570465 12.5262999534607 12.4139153957367 12.5513973236084 12.7389523983002 12.774920463562 12.2578251361847 12.711149930954
-450 13.7345499992371 13.6449496746063 13.7346501350403 13.5807526111603 13.3563048839569 13.1624274253845 13.0767526626587 13.2820403575897 13.3718249797821 13.3384573459625 12.9499974250793 13.3444771766663
-425 14.3251452445984 14.3724548816681 14.3342776298523 14.2224225997925 13.9731476306915 13.7963678836823 13.6531155109406 14.0051953792572 13.9704749584198 13.994695186615 13.6134295463562 14.1820571422577
-400 14.9064798355103 14.9472000598907 14.8650252819061 14.7689974308014 14.5605273246765 14.3681547641754 14.3040747642517 14.534175157547 14.5301949977875 14.6081025600433 14.2384023666382 14.7543499469757
-375 15.4364297389984 15.4309501647949 15.3688499927521 15.2640025615692 15.1103069782257 14.9571204185486 14.8708295822144 15.0230047702789 15.0488951206207 15.1498799324036 14.799907207489 15.2780976295471
-350 15.8764202594757 15.7147700786591 15.7750952243805 15.7811501026154 15.5354154109955 15.5007679462433 15.3848724365234 15.5176403522491 15.6012930870056 15.6195523738861 15.305154800415 15.7271749973297
-325 16.2803049087524 16.2504773139954 16.1773023605347 16.2189154624939 15.9870026111603 15.97789311409 15.8024275302887 15.9918496608734 15.9947953224182 16.0430841445923 15.7706251144409 16.0872173309326
-300 16.6348276138306 16.6359705924988 16.538754940033 16.5079569816589 16.3522753715515 16.3408246040344 16.1436724662781 16.3017725944519 16.3526520729065 16.3838548660278 16.1903343200684 16.4250421524048
-275 16.9138045310974 16.9554905891418 16.8311476707458 16.7799949645996 16.6540298461914 16.6015796661377 16.4324350357056 16.5627293586731 16.6092705726624 16.6897902488708 16.5275278091431 16.6976842880249
-250 17.1430797576904 16.9150996208191 17.1933298110962 16.9836974143982 16.945517539978 16.7289748191833 16.8507475852966 16.8111748695374 16.8239703178406 16.975697517395 16.7884998321533 16.9808979034424
-225 17.4113202095032 17.5356998443604 17.5199823379517 17.1682252883911 17.1752548217773 16.8926749229431 17.0974225997925 17.0314025878906 17.0614705085754 17.2244048118591 17.0576248168945 17.1959433555603
-200 17.7327475547791 17.8240003585815 17.6880745887756 17.2306752204895 17.2867522239685 17.1064977645874 17.291877746582 17.1679253578186 17.2501473426819 17.5253772735596 17.2918720245361 17.5120248794556
-175 18.2948503494263 18.0363993644714 17.8512024879456 17.3766746520996 17.4442248344421 17.4070925712585 17.4976043701172 17.4052929878235 17.5357451438904 17.9400501251221 17.6006073951721 17.89240026474
-150 18.8916044235229 18.3617253303528 18.0142545700073 17.5448203086853 17.6046996116638 17.59512758255 17.7158770561218 17.7057247161865 17.8976497650146 18.410120010376 17.9848275184631 18.4279551506042
-125 19.5630226135254 18.5696449279785 18.1750798225403 17.7112774848938 17.7998023033142 17.8618850708008 18.0639824867249 18.0749020576477 18.370424747467 19.0076794624329 18.5177001953125 19.3657021522522
-105 19.7852721214294 18.5950951576233 18.2180705070496 17.9433546066284 18.106650352478 18.1604704856873 18.5685024261475 18.6597452163696 19.0839977264404 19.9061822891235 19.5188679695129 20.5406227111816
-95 19.9090223312378 18.6745452880859 18.2288675308228 17.9774475097656 18.1723976135254 18.2532477378845 18.6812748908997 18.8426003456116 19.291027545929 20.1867275238037 19.8085231781006 20.7792520523071
-90 19.9398970603943 18.6857452392578 18.2381930351257 18.0216341018677 18.2656526565552 18.3407573699951 18.8270797729492 19.0480051040649 19.54048204422 20.4897723197937 20.1370496749878 21.0571551322937
-85 19.9907698631287 18.6915502548218 18.2474546432495 18.0651025772095 18.3331017494202 18.4422922134399 18.9902958869934 19.2857203483582 19.8697772026062 20.8469271659851 20.5341248512268 21.2540955543518
-80 20.0372500419617 18.7101721763611 18.3021769523621 18.1066818237305 18.4467744827271 18.5542826652527 19.1690073013306 19.5221271514893 20.1893000602722 21.2474002838135 20.9870271682739 21.4662480354309
-75 20.0687999725342 18.7186088562012 18.3180751800537 18.1549434661865 18.5372519493103 18.6810593605042 19.3942275047302 19.8199524879456 20.5703029632568 21.7722182273865 21.5070729255676 21.6594023704529
-70 20.0827550888062 18.7320256233215 18.3191294670105 18.2078452110291 18.6359524726868 18.8236207962036 19.6455979347229 20.1596546173096 21.0339775085449 22.3329200744629 21.9137506484985 21.7598295211792
-65 20.0965704917908 18.7445020675659 18.3287200927734 18.2614550590515 18.7528972625732 19.0114002227783 19.9642200469971 20.5399723052979 21.5459728240967 22.9425797462463 22.3382248878479 21.8388776779175
-60 20.0855674743652 18.7716450691223 18.3578519821167 18.3142342567444 18.8739800453186 19.2218270301819 20.3265476226807 21.0339002609253 22.1626977920532 23.5316295623779 22.7364978790283 21.889497756958
-55 20.0791926383972 18.7688298225403 18.3760566711426 18.3785471916199 19.0273270606995 19.4506502151489 20.6945180892944 21.5880722999573 22.8024525642395 24.1088223457336 23.1011652946472 21.9173021316528
-50 20.052050113678 18.7600526809692 18.3911247253418 18.4426498413086 19.1935477256775 19.7100296020508 21.0690703392029 22.3843455314636 23.4051451683044 24.6063199043274 23.4108004570007 21.9553771018982
-45 20.099497795105 18.8113794326782 18.4109201431274 18.5229802131653 19.3958497047424 20.0389456748962 21.5900955200195 23.1611499786377 24.1396250724792 25.0234050750732 23.5700178146362 21.983247756958
