"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12" "M13" "M14" "M15" "M16" "M17" "M18" "M19" "M20" "M21" "M22" "M23" "M24" "M25" "M26" "M27" "M28" "M29" "M30" "M31" "M32" "M33" "M34" "M35" "M36"
-3386.0133258334 0.000160118288476951 -0.000336496479576454 -9.07497378648259e-05 -0.00026280977181159 -0.00015194300794974 0.000101267956779338 -7.03405066815321e-06 -0.00014852853200864 8.39491258375347e-06 1.47653590829577e-05 -5.36900115548633e-05 -3.9887640014058e-05 -4.19203970523085e-05 -2.32048132602358e-05 -5.32030935573857e-06 6.3777506511542e-06 -1.39155645229039e-05 1.22762148748734e-05 7.15049609425478e-05 2.07689372473396e-05 2.08651763387024e-05 6.12147778156213e-05 -0.0001013002183754 -4.81443348689936e-05 0.000124785903608426 -0.000202098904992454 1.62557953444775e-05 6.77490679663606e-05 -0.000323639658745378 0.000145670404890552 7.50764229451306e-05 -0.000215738516999409 0.00024170582764782 -0.000283313391264528 0.000161905962158926 8.7951724708546e-05
-3111.21119099749 9.36702926992439e-05 -0.000176528177689761 -3.14842072839383e-05 -0.000177489739144221 -0.000108637592347804 4.20408177888021e-05 -1.52847551362356e-05 -8.1577141827438e-05 1.90844311873661e-05 1.76013727468671e-05 -3.82025209546555e-05 -2.22020917135524e-05 -2.99589137284784e-05 -1.69845570781035e-05 -5.03767932968913e-06 -2.66352526523406e-06 -2.37065360124689e-05 3.94649941881653e-06 3.896571797668e-05 8.6569643826806e-06 -1.45514368341537e-05 3.07938171317801e-05 -5.22526897839271e-05 -2.76089776889421e-05 6.79348231642507e-05 -0.000103538790426683 3.80273468181258e-06 5.18537854077294e-05 -0.000171380714164115 0.000104957369330805 3.69648696505465e-05 -0.000110678694909438 0.000151860745972954 -0.000178568181581795 0.000114281167043373 3.7307294405764e-05
-2873.92866835828 4.01128381781746e-05 -0.000102087324194144 -2.15245981962653e-05 -0.000144983772770502 -9.00664381333627e-05 1.16246574179968e-05 -9.94732909020968e-06 -3.80962555937003e-05 1.47928574278922e-06 -1.26970671772142e-05 -2.76411319646286e-05 -1.4485623978544e-05 -2.71517510554986e-05 -1.72064665093785e-05 -2.44694570028514e-06 -1.01105915746302e-05 -4.83273652207572e-06 1.11041872514761e-05 3.10778887069318e-05 -1.15826896944782e-05 -1.07319146991358e-05 2.51786550506949e-05 -2.66632523562293e-05 -2.01040438696509e-05 5.17029075126629e-05 -6.46023327135481e-05 8.79961316968547e-06 1.8865090169129e-05 -0.000105581719253678 6.03101798333228e-05 -1.4076303159527e-05 -5.37442901986651e-05 7.21864853403531e-05 -0.000108020925836172 6.05352470302023e-05 2.31552912737243e-05
-2668.70242408545 -3.02123544315691e-06 -6.21854560449719e-05 -2.33621212828439e-05 -0.000123322912259027 -7.87930985097773e-05 1.40506617753999e-05 -6.11380301052122e-06 -2.3084530766937e-05 -1.26423001347575e-05 -1.81029554369161e-05 -1.20963377412409e-05 -1.31660844999715e-05 -1.78235786734149e-05 -1.09029633676982e-05 -4.99063798997668e-06 -2.97234441859473e-06 -7.0121900535014e-06 9.3206181190908e-06 2.03378203877946e-05 -1.56195528688841e-05 -1.17359804789885e-05 9.99801704892889e-06 -5.71506870983285e-06 8.31638033105264e-07 2.7856291126227e-05 -3.43129177053925e-05 8.89693092176458e-06 -3.26878080159076e-06 -6.04340275458526e-05 2.79372034128755e-05 -2.78883253486129e-05 -3.81943791580852e-05 1.77550664375303e-05 -4.64292461401783e-05 3.26369336107746e-05 3.70322754861263e-06
-2490.75214581509 -1.13448331831023e-05 -2.45825194724603e-05 -2.03312283701962e-05 -0.000108179425296839 -6.17467521806248e-05 1.78509635588853e-05 5.69389794691233e-06 -1.04000400824589e-05 -1.90657792700222e-05 -2.45602568611503e-05 -9.86200211627875e-06 -6.77506295687635e-06 -1.14275053419988e-05 -1.27809971672832e-05 -6.36804361420218e-06 -6.68954999127891e-06 -7.61754245104385e-06 1.68352853506804e-05 1.35219452204183e-05 -1.21839484563679e-05 -2.11576079891529e-05 8.4925532064517e-06 1.12954248834285e-05 1.08610620372929e-05 1.62143624038436e-05 -1.31574870465556e-05 -3.28155124407203e-07 -1.00834931799909e-05 -3.66729509551078e-05 2.64144796346955e-06 -3.47113200405147e-05 -2.53634516411694e-05 -8.13855513115413e-06 -2.66037222900195e-05 2.05666474357713e-05 7.57581346988445e-06
-2335.85803869016 -1.47651990118902e-05 -7.25004565538256e-06 -1.98136822291417e-05 -9.90266053122468e-05 -4.65507619082928e-05 2.45439277932746e-05 7.29801377019612e-06 -2.24929931391671e-06 -2.39333658100804e-05 -2.45113169512479e-05 -7.84358962846454e-06 -1.1789691143349e-06 -1.06800080175162e-05 -1.22923765957239e-05 -6.00822568230797e-06 -4.23577876063064e-06 -3.786009756368e-06 1.26634395201108e-05 1.19802098197397e-05 -1.23775562315132e-05 -1.56612550199497e-05 5.00713167639333e-06 1.28633255371824e-05 1.59127994265873e-05 1.32213071992737e-05 -8.14422037365148e-06 -2.35656739278056e-06 -1.369301116938e-05 -2.084188417939e-05 -9.47006356000202e-06 -3.66096610378008e-05 -1.14058439066866e-05 -2.46392428380204e-05 -1.30711714518839e-05 1.01327368611237e-05 9.87963085208321e-06
-2200.2529936026 -1.70205075846752e-05 1.95429470295494e-06 -1.25247952382779e-05 -9.16969365789555e-05 -3.33177631546278e-05 1.67821035574889e-05 7.79114816396032e-06 3.05423691315809e-06 -3.15585748467129e-05 -2.56723833444994e-05 -2.86655836134742e-06 1.25772041670302e-08 -5.25750147062354e-06 -8.25428287498653e-06 -3.05027833746863e-06 -2.20244487536547e-06 -4.46267586085014e-06 1.06006600617548e-05 1.21936845971504e-05 -1.18714388008812e-05 -1.52342745423084e-05 -3.74520141122048e-07 2.18527766264742e-05 1.89319653145503e-05 1.05605049611768e-05 -9.76457386059337e-07 -1.67200278156088e-06 -1.73743774212198e-05 -9.13852363737533e-06 -1.6479383702972e-05 -3.66729618690442e-05 -4.48065429736744e-06 -3.41718987328932e-05 -1.74749141024222e-06 5.00402984471293e-06 8.3387076301733e-06
-2080.52001764617 -1.68038677657023e-05 9.49850709730526e-06 -8.54665813676547e-06 -7.97968023107387e-05 -2.37858548643999e-05 1.13616160888341e-05 1.66204099514289e-05 -2.02833052753704e-06 -3.58869365300052e-05 -2.70922319032252e-05 3.20531012221181e-06 2.45772980633774e-07 -7.3154484425686e-07 -2.67787982011214e-06 -4.76550894745742e-07 -3.47172135661822e-06 -3.83601673092926e-06 9.64171613304643e-06 9.58533837547293e-06 -1.07892719825031e-05 -1.4263781849877e-05 -3.07122689946482e-07 2.33202808885835e-05 2.24963696382474e-05 9.40239442570601e-06 6.20914352111868e-06 -3.54416783920897e-06 -1.71160936588421e-05 -1.98183940369745e-07 -1.93742125702556e-05 -3.51294256688561e-05 -8.5503040736512e-07 -3.84497143386398e-05 6.69151131660328e-06 -7.44976489386318e-07 7.66639823268633e-06
-1973.49803761506 -1.6000036339392e-05 1.16737974167336e-05 -4.83222675029538e-06 -6.95978305884637e-05 -2.04585485334974e-05 1.56482510647038e-05 6.98927215125877e-06 -1.38061272991763e-06 -3.68447690561879e-05 -2.5937617465388e-05 6.97298946761293e-06 3.23343397212739e-06 1.52381255702494e-06 1.01277134945121e-06 2.24107407120755e-06 -3.7157517454034e-06 -3.98903557652375e-06 9.33527189772576e-06 6.62127695250092e-06 -1.03434131233371e-05 -1.34400797833223e-05 3.6401547731657e-07 2.80755648418562e-05 2.46544241235824e-05 7.33118622520124e-06 1.24855987451156e-05 -1.91010985872708e-06 -1.65232850122266e-05 5.81678204980562e-06 -2.31968151638284e-05 -3.11875628540292e-05 1.64924051659909e-06 -4.28625535278115e-05 1.34849042296992e-05 -1.84671102942957e-06 3.94210883314372e-06
-1876.19568680419 -1.61580592248356e-05 1.72387808561325e-05 -1.98505154003215e-06 -6.09358903602697e-05 -1.74590149981668e-05 1.40061438287375e-05 5.01389740747982e-06 -2.49882941716351e-06 -3.88611733797006e-05 -2.36474425037159e-05 8.45301019580802e-06 8.92365369509207e-06 3.03455340144865e-06 1.91439312402508e-06 3.03017577607534e-06 -3.15396596306527e-06 -6.02537329541519e-06 8.68437018652912e-06 4.84713336845743e-06 -1.07146779555478e-05 -1.23802365123993e-05 1.35081762664413e-07 2.72502638836158e-05 2.87487309833523e-05 9.40815334615763e-06 1.75349705386907e-05 1.16942226213723e-06 -1.67945818247972e-05 9.65495564742014e-06 -2.4214083168772e-05 -2.81629108940251e-05 4.7291550799855e-06 -4.53081156592816e-05 1.9303013687022e-05 -3.31510159412574e-06 4.79194159197505e-06
-1785.71788797325 -1.82322401087731e-05 1.95233278645901e-05 -1.84105442713189e-06 -5.24714778293855e-05 -1.62318920047255e-05 1.14233353087911e-05 7.65644472267013e-06 -4.76504010293866e-06 -4.01440811401699e-05 -2.14841893466655e-05 1.09616621557507e-05 1.2120643077651e-05 4.60679348179838e-06 9.30408745603017e-08 2.00602994482324e-06 -2.61624450104136e-06 -7.24253186490387e-06 8.301462912641e-06 5.82364464207785e-06 -1.06110010165139e-05 -1.06722800410353e-05 -1.68926533206104e-07 3.2479059882462e-05 3.23616404784843e-05 7.89913065091241e-06 1.98450252355542e-05 2.39114092437376e-06 -1.5991670807125e-05 1.28706105897436e-05 -2.33843056776095e-05 -2.7080939617008e-05 8.22994570626179e-06 -4.71601742901839e-05 2.37602980632801e-05 -5.91783691561432e-06 5.37058031113702e-06
-1699.21392614066 -1.82338662852999e-05 1.83907686732709e-05 -2.91572519017791e-06 -4.5882974518463e-05 -1.14823669719044e-05 6.07063020652276e-06 8.14123632153496e-06 -6.89614580551279e-06 -3.95891438529361e-05 -2.09654208447319e-05 1.41124774017953e-05 1.28317915368825e-05 5.65808659303002e-06 -1.71221927303122e-06 8.2880103491334e-07 -2.59670582636318e-06 -6.83821326674661e-06 7.20095658834907e-06 6.58682483845041e-06 -9.85498445515987e-06 -8.85083954926813e-06 2.27061420332575e-07 3.33059178956319e-05 3.26318695442751e-05 1.18215330076055e-05 2.48139403993264e-05 3.45877765539626e-06 -1.47537612065207e-05 1.57577833306277e-05 -2.52221925620688e-05 -2.54038222919917e-05 1.08376916614361e-05 -4.82138857478276e-05 2.82598721241811e-05 -7.04908916304703e-06 4.16329658037284e-06
-1613.86424241008 -2.06984022952383e-05 2.04726784431841e-05 -1.2003984011244e-06 -3.88574844691902e-05 -9.42037331697065e-06 4.13955649491982e-06 6.26149403615273e-06 -1.04317041405011e-05 -4.04553466069046e-05 -2.03451272682287e-05 1.60706877068151e-05 1.35931777549558e-05 5.11882581122336e-06 -1.87026648745814e-06 3.96547967795868e-08 -2.75899196822138e-06 -6.16682882537134e-06 7.92047376307892e-06 6.88540922055836e-06 -7.3281385084556e-06 -7.95148480392527e-06 6.74062164307543e-07 3.36621596943587e-05 3.40324004355352e-05 1.26137592815212e-05 2.6178282496403e-05 4.21915683546104e-06 -1.33354778881767e-05 1.8894254026236e-05 -2.47411444433965e-05 -2.39774726651376e-05 1.15170660137665e-05 -4.85191012558062e-05 3.21412553603295e-05 -9.26081611396512e-06 3.61493630407494e-06
-1526.92668061142 -2.09107402042719e-05 2.1776346329716e-05 -1.1560769053176e-06 -3.40067599609029e-05 -6.64230401525856e-06 4.30195177614223e-06 3.54951430381334e-06 -1.3289493836055e-05 -3.88150292565115e-05 -1.98389279830735e-05 1.55613433889812e-05 1.44757150337682e-05 2.93106927529152e-06 -3.81756353817764e-06 -7.48719799048558e-07 -3.00213991977216e-06 -6.67635686113499e-06 8.35536684462568e-06 7.31478485249681e-06 -5.64997390029021e-06 -8.12023426988162e-06 8.02810689037869e-07 3.13885211653542e-05 3.40765800501686e-05 1.15066186481272e-05 3.03137585433433e-05 4.61095305581694e-06 -1.18668876893935e-05 2.08113033295376e-05 -2.50620541919488e-05 -2.21896498260321e-05 1.1964475561399e-05 -4.766603524331e-05 3.33862044499256e-05 -8.56756560096983e-06 3.43925876222784e-06
